control_id,title,requirement,applicability,responsible_role,enforcement,evidence,severity,exception_authority,protection_objective,book_i,book_ii,book_iii,book_iv,book_x,chapter,automation
VI-PAM-03-001,Broker privileged access,"Privileged access MUST use an approved broker or equivalent controlled path with strong authentication, current Authority and Permission, session bounds, command or action evidence, and automatic expiry.",privileged access,Privileged Access Owner,privileged access gateway,session evidence,Critical,None,Both,"Decisions 27, 38-40, 48","Chapters 3-5, 23, 28, 33","Chapters 2, 5, 7","CMP-01-03, CMP-25-26","Chapters 3-4, 8-9",03,Automated + human review
VI-PAM-03-002,Use just-in-time elevation,"Standing privilege SHOULD NOT exist; elevation MUST be just-in-time, purpose-specific, time-limited, approved at the appropriate risk level, and removed automatically.",privileged roles,Privileged Access Owner,elevation workflow,elevation record,High,Security and Trust Executive,Both,"Decisions 27, 38-40, 48","Chapters 3-5, 23, 28, 33","Chapters 2, 5, 7","CMP-01-03, CMP-25-26","Chapters 3-4, 8-9",03,Human review with recorded evidence
VI-PAM-03-003,Constrain break-glass,"Break-glass access MUST require a declared emergency, narrow scope, an independent Permission decision bounded by current Authority where reachable, enhanced monitoring, immutable evidence, automatic expiry, and retrospective review within 24 hours.",emergencies,Incident Commander,emergency access workflow,break-glass record and review,Critical,Security and Trust Executive,Both,"Decisions 27, 38-40, 48","Chapters 3-5, 23, 28, 33","Chapters 2, 5, 7","CMP-01-03, CMP-25-26","Chapters 3-4, 8-9",03,Human review with recorded evidence
VI-PAM-03-004,Protect Owner ceremonies,Credentials or privileged access MUST NOT substitute for the Owner Authorization Ceremony or other constitutionally protected approval.,protected Owner actions,Privileged Access Owner,Kernel ceremony-admission test,ceremony evidence reference,Critical,None,Constrain HAL,"Decisions 27, 38-40, 48","Chapters 3-5, 23, 28, 33","Chapters 2, 5, 7","CMP-01-03, CMP-25-26","Chapters 3-4, 8-9",03,Human review with recorded evidence
VI-PAM-03-005,Issue workload-bound service identities,"Each service identity MUST bind to an approved workload, environment, owner, capability need, permitted audience, credential method, and rotation/revocation policy.",service identities,Service Owner,workload identity admission,service identity record,High,Risk Steward,Protect HAL,"Decisions 27, 38-40, 48","Chapters 3-5, 23, 28, 33","Chapters 2, 5, 7","CMP-01-03, CMP-25-26","Chapters 3-4, 8-9",03,Human review with recorded evidence
VI-PAM-03-006,Eliminate embedded credentials,"Credentials MUST NOT be stored in source, images, logs, tickets, prompts, generated artifacts, or unapproved configuration; discovery MUST trigger containment and rotation.",all artifacts,Credential Custodian,secret scanning and admission gates,scan results and rotation record,Critical,None,Protect HAL,"Decisions 27, 38-40, 48","Chapters 3-5, 23, 28, 33","Chapters 2, 5, 7","CMP-01-03, CMP-25-26","Chapters 3-4, 8-9",03,Automated + human review
VI-PAM-03-007,Rotate on defined triggers,"Credentials MUST rotate on scheduled lifetime, exposure, custody change, algorithm or issuer weakness, workload change, environment migration, and incident direction.",all credentials,Credential Custodian,lifecycle controller,rotation and revocation receipts,High,Security and Trust Executive,Protect HAL,"Decisions 27, 38-40, 48","Chapters 3-5, 23, 28, 33","Chapters 2, 5, 7","CMP-01-03, CMP-25-26","Chapters 3-4, 8-9",03,Automated + human review
VI-PAM-03-008,Investigate privileged anomalies,"Unexpected privilege use, failed elevation, geographic or workload mismatch, bulk access, disabled telemetry, or policy bypass attempt MUST create an incident-relevant event and risk-based response.",privileged activity,Security Operations,behavior detection,security event and disposition,Critical,None,Both,"Decisions 27, 38-40, 48","Chapters 3-5, 23, 28, 33","Chapters 2, 5, 7","CMP-01-03, CMP-25-26","Chapters 3-4, 8-9",03,Human review with recorded evidence
VI-CRY-04-001,Use approved cryptographic profiles,"Cryptography MUST use approved algorithms, modes, key sizes, protocols, libraries, and purposes recorded in the cryptographic profile; custom cryptography is prohibited.",all cryptographic use,Cryptography Authority,build and configuration policy,cryptographic inventory,Critical,None,Protect HAL,"Decisions 23, 27, 39-40, 43","Chapters 23, 28, 31, 33","Chapters 2, 5, 7","CMP-02, CMP-17, CMP-20-25","Chapters 4, 7-9",04,Automated + human review
VI-CRY-04-002,Separate keys by purpose and domain,"Keys MUST be separated by environment, Trust Domain, principal or workload, purpose, data classification, and cryptographic operation; reuse across incompatible contexts is prohibited.",all keys,Key Custodian,key-policy enforcement,key metadata,Critical,None,Both,"Decisions 23, 27, 39-40, 43","Chapters 23, 28, 31, 33","Chapters 2, 5, 7","CMP-02, CMP-17, CMP-20-25","Chapters 4, 7-9",04,Automated + human review
VI-CRY-04-003,Keep secrets out of ambient authority,"Secrets MUST be referenced through governed secret services, scoped to the least audience and capability, short-lived where practical, auditable, and incapable of independently granting Authority.",all secrets,Key Custodian,secret broker and authority tests,secret access evidence,Critical,None,Both,"Decisions 23, 27, 39-40, 43","Chapters 23, 28, 31, 33","Chapters 2, 5, 7","CMP-02, CMP-17, CMP-20-25","Chapters 4, 7-9",04,Human review with recorded evidence
VI-CRY-04-004,Protect key custody,"High-impact keys MUST use hardware-backed or equivalently isolated custody, dual control for protected operations, non-exportability where feasible, and independently tested recovery.",critical keys,Key Custodian,custody controls and ceremony review,key ceremony record,Critical,Cryptography Authority,Protect HAL,"Decisions 23, 27, 39-40, 43","Chapters 23, 28, 31, 33","Chapters 2, 5, 7","CMP-02, CMP-17, CMP-20-25","Chapters 4, 7-9",04,Human review with recorded evidence
VI-CRY-04-005,Verify certificates completely,"Certificate validation MUST verify chain, identity, purpose, constraints, time, revocation, algorithm policy, and expected Trust Domain; possession alone MUST NOT imply Authority or Permission.",all certificate use,Certificate Operator,validation policy tests,validation event,Critical,None,Both,"Decisions 23, 27, 39-40, 43","Chapters 23, 28, 31, 33","Chapters 2, 5, 7","CMP-02, CMP-17, CMP-20-25","Chapters 4, 7-9",04,Automated + human review
VI-CRY-04-006,Rotate and revoke safely,"Rotation and revocation MUST define overlap, propagation, caches, in-flight work, offline nodes, failure behavior, receipts, and completion checks without weakening authority enforcement.",key and certificate changes,Certificate Operator,lifecycle orchestration,rotation manifest,High,Cryptography Authority,Both,"Decisions 23, 27, 39-40, 43","Chapters 23, 28, 31, 33","Chapters 2, 5, 7","CMP-02, CMP-17, CMP-20-25","Chapters 4, 7-9",04,Human review with recorded evidence
VI-CRY-04-007,Plan cryptographic agility,"Every cryptographic dependency MUST identify replacement triggers, compatible migration path, inventory reachability, testing, rollback or forward recovery, and retained evidence.",all cryptographic systems,Cryptography Authority,annual agility review,agility plan,High,Risk Steward,Protect HAL,"Decisions 23, 27, 39-40, 43","Chapters 23, 28, 31, 33","Chapters 2, 5, 7","CMP-02, CMP-17, CMP-20-25","Chapters 4, 7-9",04,Human review with recorded evidence
VI-CRY-04-008,Respond to cryptographic compromise,"Suspected key or issuer compromise MUST trigger containment, revocation, dependency impact analysis, reissuance, evidence preservation, and Book VIII-scoped reverification before restored trust.",compromise,Security Operations,incident playbook,compromise recovery package,Critical,None,Both,"Decisions 23, 27, 39-40, 43","Chapters 23, 28, 31, 33","Chapters 2, 5, 7","CMP-02, CMP-17, CMP-20-25","Chapters 4, 7-9",04,Human review with recorded evidence
VI-PLT-05-001,Harden from declared baselines,"Hosts, runtimes, containers, orchestrators, and managed services MUST conform to versioned hardening baselines with deviations recorded, time-bounded, monitored, and tested.",all platforms,Platform Security Owner,configuration assessment,baseline conformance evidence,High,Security and Trust Executive,Protect HAL,"Decisions 17-25, 36-44, 47","Chapters 2, 23, 28-33","Chapters 2, 5, 7","CMP-13-14, CMP-20, CMP-22-26",Chapters 6-9,05,Human review with recorded evidence
VI-PLT-05-002,Segment by trust and authority,"Network and workload paths MUST be allow-listed by authenticated identity, declared need, Trust Domain, data class, and permitted operation; network location MUST NOT establish trust.",all communications,Network Security Owner,policy-as-code and flow tests,segmentation evidence,Critical,None,Both,"Decisions 17-25, 36-44, 47","Chapters 2, 23, 28-33","Chapters 2, 5, 7","CMP-13-14, CMP-20, CMP-22-26",Chapters 6-9,05,Automated + human review
VI-PLT-05-003,Isolate workloads,"Workloads MUST have separate identities, least resources, restricted host access, read-only roots where practical, controlled egress, bounded persistence, and containment against neighboring compromise.",all workloads,Workload Owner,admission and runtime policy,workload attestation,High,Platform Security Owner,Protect HAL,"Decisions 17-25, 36-44, 47","Chapters 2, 23, 28-33","Chapters 2, 5, 7","CMP-13-14, CMP-20, CMP-22-26",Chapters 6-9,05,Automated + human review
VI-PLT-05-004,Build reproducibly,"Release artifacts MUST be produced by isolated, pinned, reviewable builds with protected inputs, deterministic steps where feasible, independent verification, and no developer workstation as release authority.",release builds,Build Custodian,reproducible build gate,build manifest and comparison,Critical,None,Protect HAL,"Decisions 17-25, 36-44, 47","Chapters 2, 23, 28-33","Chapters 2, 5, 7","CMP-13-14, CMP-20, CMP-22-26",Chapters 6-9,05,Automated + human review
VI-PLT-05-005,Sign and verify provenance,"Artifacts, dependencies, policies, configurations, and critical data packages MUST carry verifiable provenance and integrity; failed or unknown provenance MUST block protected use.",admitted artifacts,Build Custodian,admission verification,provenance record,Critical,None,Both,"Decisions 17-25, 36-44, 47","Chapters 2, 23, 28-33","Chapters 2, 5, 7","CMP-13-14, CMP-20, CMP-22-26",Chapters 6-9,05,Human review with recorded evidence
VI-PLT-05-006,Maintain dependency inventories,"Every deployable unit MUST have a current transitive inventory, ownership, source, version, license disposition, integrity, support status, known risk, and replacement path.",all dependencies,Dependency Owner,SBOM and policy gate,SBOM and disposition,High,Risk Steward,Protect HAL,"Decisions 17-25, 36-44, 47","Chapters 2, 23, 28-33","Chapters 2, 5, 7","CMP-13-14, CMP-20, CMP-22-26",Chapters 6-9,05,Automated + human review
VI-PLT-05-007,Assume component compromise,"Architecture and operations MUST constrain a compromised node, provider, dependency, model, adapter, or service from acquiring authority, mutating foreign authoritative state, suppressing audit, or escaping its domain.",all components,Security Assessor,adversarial containment tests,compromise containment report,Critical,None,Both,"Decisions 17-25, 36-44, 47","Chapters 2, 23, 28-33","Chapters 2, 5, 7","CMP-13-14, CMP-20, CMP-22-26",Chapters 6-9,05,Human review with recorded evidence
VI-PLT-05-008,Control external build services,"External builders, registries, repositories, and vendors MUST be separate Trust Domains with explicit permitted exchanges, evidence, revocation paths, and no implicit constitutional trust.",external supply chain,Build Custodian,third-party and exchange review,external service assessment,Critical,Security and Trust Executive,Both,"Decisions 17-25, 36-44, 47","Chapters 2, 23, 28-33","Chapters 2, 5, 7","CMP-13-14, CMP-20, CMP-22-26",Chapters 6-9,05,Human review with recorded evidence
VI-VUL-06-001,Maintain exposure-aware inventory,"The vulnerability program MUST continuously map assets, versions, dependencies, internet and cross-domain exposure, identities, privileges, data classes, and authoritative responsibilities.",all assets,Vulnerability Program Owner,inventory reconciliation,asset exposure inventory,High,Risk Steward,Protect HAL,"Decisions 26, 38, 42, 44","Chapters 2, 28, 31-33","Chapters 5, 7-9",CMP-24-26,Chapters 7-9,06,Human review with recorded evidence
VI-VUL-06-002,Accept findings from multiple channels,"Automated scans, advisories, dependency intelligence, researcher reports, penetration tests, incidents, anomaly evidence, and internal review MUST enter one tracked disposition process.",all findings,Vulnerability Program Owner,intake workflow,finding record,High,Security and Trust Executive,Protect HAL,"Decisions 26, 38, 42, 44","Chapters 2, 28, 31-33","Chapters 5, 7-9",CMP-24-26,Chapters 7-9,06,Human review with recorded evidence
VI-VUL-06-003,Prioritize by HAL consequence,"Remediation priority MUST consider exploitability, exposure, privilege, authority path, data sensitivity, trust boundary, component ownership, containment, detectability, recovery, and credible harm—not severity score alone.",all findings,Risk Steward,risk scoring review,prioritization rationale,Critical,Security and Trust Executive,Both,"Decisions 26, 38, 42, 44","Chapters 2, 28, 31-33","Chapters 5, 7-9",CMP-24-26,Chapters 7-9,06,Human review with recorded evidence
VI-VUL-06-004,Meet risk-based remediation targets,"Critical exploitable findings affecting authority, constitutional controls, protected state, external trust, or sensitive data MUST receive immediate containment and an approved remediation deadline.",critical findings,Asset Owner,SLA and containment gate,containment and remediation evidence,Critical,Security and Trust Executive,Both,"Decisions 26, 38, 42, 44","Chapters 2, 28, 31-33","Chapters 5, 7-9",CMP-24-26,Chapters 7-9,06,Automated + human review
VI-VUL-06-005,Test patches before adoption,"Patches MUST undergo impact analysis, provenance validation, representative testing, rollback or forward-recovery preparation, and post-update verification proportional to urgency and consequence.",all patches,Patch Authority,change admission gate,patch qualification record,High,Patch Authority,Both,"Decisions 26, 38, 42, 44","Chapters 2, 28, 31-33","Chapters 5, 7-9",CMP-24-26,Chapters 7-9,06,Automated + human review
VI-VUL-06-006,Do not remove critical checks for urgency,"Emergency remediation MAY compress ordinary timing but MUST NOT bypass identity, Authority, constitutional invariants, provenance, evidence, or recovery controls.",emergency patches,Patch Authority,emergency change policy,emergency patch record,Critical,None,Constrain HAL,"Decisions 26, 38, 42, 44","Chapters 2, 28, 31-33","Chapters 5, 7-9",CMP-24-26,Chapters 7-9,06,Automated + human review
VI-VUL-06-007,Verify closure,"A finding closes only when the fix or compensating control is deployed to every in-scope asset, independently verified, monitored, and linked to residual risk; ticket closure alone is insufficient.",all remediations,Independent Assessor,retest and inventory reconciliation,closure verification,High,Risk Steward,Protect HAL,"Decisions 26, 38, 42, 44","Chapters 2, 28, 31-33","Chapters 5, 7-9",CMP-24-26,Chapters 7-9,06,Human review with recorded evidence
VI-VUL-06-008,Coordinate disclosure safely,"Disclosure MUST protect affected people, preserve evidence, respect authorized reporting channels and Treaties, avoid enabling preventable harm, and never conceal material risk from accountable decision-makers.",disclosures,Security and Trust Executive,disclosure review,disclosure decision record,High,Owner only for genuine Owner matters,Both,"Decisions 26, 38, 42, 44","Chapters 2, 28, 31-33","Chapters 5, 7-9",CMP-24-26,Chapters 7-9,06,Human review with recorded evidence
VI-PRV-07-001,Classify before processing,"Data MUST be classified before collection, inference, storage, use, disclosure, replication, or deletion; unknown classification MUST receive the most protective plausible handling.",all data,Data Owner,schema and admission validation,classification record,Critical,None,Both,"Articles IX-X; Decisions 10, 30, 39-40, 45, 48, 55","Chapters 12, 14, 18, 24, 27, 29","Chapters 5-6, 8","CMP-08-10, CMP-18-19, CMP-24, CMP-27","Chapters 7-8, 10",07,Automated + human review
VI-PRV-07-002,Prove purpose and authority,"Every personal or sensitive-data operation MUST bind an authorized purpose, applicable Authority or consent basis, permitted processing, recipients, retention, and evidence.",personal and sensitive data,Purpose Owner,purpose-policy enforcement,purpose and authority decision,Critical,None,Constrain HAL,"Articles IX-X; Decisions 10, 30, 39-40, 45, 48, 55","Chapters 12, 14, 18, 24, 27, 29","Chapters 5-6, 8","CMP-08-10, CMP-18-19, CMP-24, CMP-27","Chapters 7-8, 10",07,Automated + human review
VI-PRV-07-003,Collect the minimum,"Collection MUST be limited to fields, precision, frequency, population, duration, and sources demonstrably necessary for the authorized purpose; convenience and possible future use are insufficient.",all collection,Privacy Steward,collection review and field gate,minimization assessment,Critical,Privacy Steward,Both,"Articles IX-X; Decisions 10, 30, 39-40, 45, 48, 55","Chapters 12, 14, 18, 24, 27, 29","Chapters 5-6, 8","CMP-08-10, CMP-18-19, CMP-24, CMP-27","Chapters 7-8, 10",07,Automated + human review
VI-PRV-07-004,Prevent incompatible reuse,"Data MUST NOT be reused, combined, enriched, modeled, or disclosed for a materially different purpose without a new valid authority and privacy assessment.",secondary use,Purpose Owner,purpose binding checks,reuse decision record,Critical,None,Constrain HAL,"Articles IX-X; Decisions 10, 30, 39-40, 45, 48, 55","Chapters 12, 14, 18, 24, 27, 29","Chapters 5-6, 8","CMP-08-10, CMP-18-19, CMP-24, CMP-27","Chapters 7-8, 10",07,Human review with recorded evidence
VI-PRV-07-005,Set enforceable retention,"Every data class MUST have an accountable retention rule, trigger, duration, legal or constitutional holds, archive behavior, backup treatment, and verifiable disposal path.",stored data,Retention Owner,retention controller,retention schedule,High,Privacy Steward,Both,"Articles IX-X; Decisions 10, 30, 39-40, 45, 48, 55","Chapters 12, 14, 18, 24, 27, 29","Chapters 5-6, 8","CMP-08-10, CMP-18-19, CMP-24, CMP-27","Chapters 7-8, 10",07,Automated + human review
VI-PRV-07-006,Honor deletion across derived stores,"Authorized deletion MUST address authoritative records, replicas, caches, indexes, embeddings, models where technically applicable, exports, and backups, while preserving required constitutional and incident accountability.",deletion requests,Retention Owner,deletion workflow and verification,deletion certificate,Critical,Privacy Steward,Both,"Articles IX-X; Decisions 10, 30, 39-40, 45, 48, 55","Chapters 12, 14, 18, 24, 27, 29","Chapters 5-6, 8","CMP-08-10, CMP-18-19, CMP-24, CMP-27","Chapters 7-8, 10",07,Human review with recorded evidence
VI-PRV-07-007,Provide confidentiality- and integrity-protected access and export,"Access or export MUST verify requester identity and Authority, obtain Permission for the exact subject and purpose, preserve provenance and context, use authenticated, confidentiality- and integrity-protected delivery, and prevent disclosure of others' rights or secrets.",access and export,Data Owner,request validation,access/export manifest,Critical,None,Both,"Articles IX-X; Decisions 10, 30, 39-40, 45, 48, 55","Chapters 12, 14, 18, 24, 27, 29","Chapters 5-6, 8","CMP-08-10, CMP-18-19, CMP-24, CMP-27","Chapters 7-8, 10",07,Automated + human review
VI-PRV-07-008,Minimize privacy evidence,"Privacy compliance evidence MUST prove the decision without unnecessarily reproducing sensitive content; access to evidence MUST itself be classified, authorized, logged, and reviewed.",privacy evidence,Evidence Custodian,redaction and access controls,minimized evidence manifest,High,Privacy Steward,Both,"Articles IX-X; Decisions 10, 30, 39-40, 45, 48, 55","Chapters 12, 14, 18, 24, 27, 29","Chapters 5-6, 8","CMP-08-10, CMP-18-19, CMP-24, CMP-27","Chapters 7-8, 10",07,Human review with recorded evidence
VI-PIN-08-001,Assess inference risk,"Systems that infer identity, traits, relationships, emotion, health, beliefs, vulnerability, location, or intent MUST document necessity, uncertainty, affected people, misuse paths, validation, disclosure, retention, and denial or appeal.",sensitive inference,Privacy Steward,privacy impact assessment,inference risk assessment,Critical,Security and Trust Executive,Both,"Articles IX-XII; Decisions 26, 30, 33-35, 45, 48, 55-57","Chapters 7, 12, 18, 27, 29, 34","Chapters 4-6, 8","CMP-05-10, CMP-18-19, CMP-27-29","Chapters 5, 7-8, 10",08,Human review with recorded evidence
VI-PIN-08-002,Do not promote inference to fact,"Inferred personal information MUST remain labeled with provenance, method, confidence, time, and contradiction; it MUST NOT be represented as observed fact or used beyond authorized purpose.",all inferences,Model Owner,data-model and output checks,inference record,Critical,None,Constrain HAL,"Articles IX-XII; Decisions 26, 30, 33-35, 45, 48, 55-57","Chapters 7, 12, 18, 27, 29, 34","Chapters 4-6, 8","CMP-05-10, CMP-18-19, CMP-27-29","Chapters 5, 7-8, 10",08,Human review with recorded evidence
VI-PIN-08-003,Prohibit covert expansion,"HAL MUST NOT increase observation, persistence, profiling, audience, or disclosure merely because a capability makes it possible; material expansion requires explicit authority and review.",sensitive processing changes,Privacy Steward,change impact gate,privacy change decision,Critical,None,Constrain HAL,"Articles IX-XII; Decisions 26, 30, 33-35, 45, 48, 55-57","Chapters 7, 12, 18, 27, 29, 34","Chapters 4-6, 8","CMP-05-10, CMP-18-19, CMP-27-29","Chapters 5, 7-8, 10",08,Automated + human review
VI-PIN-08-004,Preserve human dignity and agency,"Interfaces MUST make consequential collection, inference, disclosure, recording, and automated effects understandable and provide meaningful consent, correction, refusal, or escalation where constitutionally applicable.",human interactions,Human Interaction Owner,human-factors and privacy review,interaction assessment,Critical,Owner only for genuine value conflict,Constrain HAL,"Articles IX-XII; Decisions 26, 30, 33-35, 45, 48, 55-57","Chapters 7, 12, 18, 27, 29, 34","Chapters 4-6, 8","CMP-05-10, CMP-18-19, CMP-27-29","Chapters 5, 7-8, 10",08,Human review with recorded evidence
VI-PIN-08-005,Test privacy failure paths,"Privacy tests MUST cover wrong subject, overcollection, purpose drift, unauthorized audience, inference leakage, retention expiry, incomplete deletion, backup restore, cross-domain transfer, and evidence overexposure.",privacy-relevant systems,Independent Assessor,privacy test suite,privacy verification report,Critical,None,Both,"Articles IX-XII; Decisions 26, 30, 33-35, 45, 48, 55-57","Chapters 7, 12, 18, 27, 29, 34","Chapters 4-6, 8","CMP-05-10, CMP-18-19, CMP-27-29","Chapters 5, 7-8, 10",08,Human review with recorded evidence
