term_id,canonical_label,chapter,category,semantic_type,definition,distinction,allowed_aliases,status,book_i_source,book_ii_source,book_iii_source,source_basis,version_introduced,examples,counterexamples,relationship_ids,constraints,lifecycle_transition_ids
HAL-TERM-0018,Invariant,2,Information model,Constraint,A condition required to remain true throughout a defined scope or transition set.,An engineering invariant is not automatically a Constitutional invariant.,,Approved,"Book I Decisions 26, 29, 40, 47, and 51","Book II Chapters 04, 22, 23, 24, 25, and 30",Book III Chapters 3 and 4,Derived semantic synthesis,1.0,A dependent artifact cites `HAL-TERM-0018` when it uses **Invariant** with this exact governed meaning: A condition required to remain true throughout a defined scope or transition set.,A dependent artifact uses **Invariant** in a way that violates its required distinction: An engineering invariant is not automatically a Constitutional invariant.,,An engineering invariant is not automatically a Constitutional invariant.,
HAL-TERM-0019,Claim,2,Information model,Evidence-bearing assertion,"A proposition stated for evaluation and linked to its subject, issuer, scope, time, and supporting or opposing evidence.",A Claim is not true merely because it is recorded or signed.,,Approved,Book I Decision 26,Book II Chapters 18 and 25,"Book III Chapters 4, 5, 6, and 8",Direct source normalization,1.0,"A dependent artifact cites `HAL-TERM-0019` when it uses **Claim** with this exact governed meaning: A proposition stated for evaluation and linked to its subject, issuer, scope, time, and supporting or opposing evidence.",A dependent artifact uses **Claim** in a way that violates its required distinction: A Claim is not true merely because it is recorded or signed.,HAL-REL-0027; HAL-REL-0029; HAL-REL-0030,A Claim is not true merely because it is recorded or signed.,
HAL-TERM-0020,Constraint,2,Information model,Rule element,"A condition that limits valid state, relationships, transitions, or behavior within a defined scope.",A preference or target is not a Constraint unless its governing source makes it binding.,,Approved,"Book I Decisions 26, 29, 40, 47, and 51","Book II Chapters 04, 22, 23, 24, 25, and 30",Book III Chapters 3 and 4,Derived semantic synthesis,1.0,"A dependent artifact cites `HAL-TERM-0020` when it uses **Constraint** with this exact governed meaning: A condition that limits valid state, relationships, transitions, or behavior within a defined scope.",A dependent artifact uses **Constraint** in a way that violates its required distinction: A preference or target is not a Constraint unless its governing source makes it binding.,,A preference or target is not a Constraint unless its governing source makes it binding.,
HAL-TERM-0021,Owner,3,Constitutional,Constitutional role,The unique human principal holding HAL's constitutional ownership and the authority reserved to that role by Book I.,"Ownership must not be inferred from possession of infrastructure, credentials, data, or a deployment. Founder is a historical source label for this same role, never a second constitutional role.",Founder,Approved,"Book I Decisions 48, 49, and 58","Book II Chapters 03, 04, 05, and 21","Book III Chapters 1, 5, and 8",Direct source normalization,1.0,A dependent artifact cites `HAL-TERM-0021` when it uses **Owner** with this exact governed meaning: The unique human principal holding HAL's constitutional ownership and the authority reserved to that role by Book I.,"A dependent artifact uses **Owner** in a way that violates its required distinction: Ownership must not be inferred from possession of infrastructure, credentials, data, or a deployment. Founder is a historical source label for this same role, never a second constitutional role.",HAL-REL-0001; HAL-REL-0051,"Ownership must not be inferred from possession of infrastructure, credentials, data, or a deployment. Founder is a historical source label for this same role, never a second constitutional role.",
HAL-TERM-0022,HAL,3,Constitutional,Constitutional identity,"The single constitutionally governed intelligence whose continuity is independent of any one model, service, Presence, node, or machine.","A runtime instance, model, component, or interface must not be called a separate HAL identity.",,Approved,"Book I Preamble and Decisions 45, 47, 49, and 51","Book II Chapters 01, 02, 14, 28, and 30","Book III Chapters 1, 5, 7, and 8",Direct source normalization,1.0,"A dependent artifact cites `HAL-TERM-0022` when it uses **HAL** with this exact governed meaning: The single constitutionally governed intelligence whose continuity is independent of any one model, service, Presence, node, or machine.","A dependent artifact uses **HAL** in a way that violates its required distinction: A runtime instance, model, component, or interface must not be called a separate HAL identity.",HAL-REL-0001; HAL-REL-0002; HAL-REL-0004; HAL-REL-0005,"A runtime instance, model, component, or interface must not be called a separate HAL identity.",
HAL-TERM-0023,Constitution,3,Constitutional,Supreme governing instrument,"Book I, the supreme source of HAL identity, principles, authority, rights, duties, prohibitions, and invariants.","No lower-order book, policy, configuration, or code may amend the Constitution by reinterpretation.",Book I,Approved,Book I Constitutional Governance and Decision 58,"Book II Chapters 03, 29, 30, and 35","Book III Chapters 1, 8, and 9",Direct source normalization,1.0,"A dependent artifact cites `HAL-TERM-0023` when it uses **Constitution** with this exact governed meaning: Book I, the supreme source of HAL identity, principles, authority, rights, duties, prohibitions, and invariants.","A dependent artifact uses **Constitution** in a way that violates its required distinction: No lower-order book, policy, configuration, or code may amend the Constitution by reinterpretation.",HAL-REL-0002,"No lower-order book, policy, configuration, or code may amend the Constitution by reinterpretation.",
HAL-TERM-0024,Constitutional Invariant,3,Constitutional,Constitutional constraint,A Book I requirement whose alteration may change HAL's constitutional identity and cannot be waived or redefined by lower-order documents.,An architectural or engineering invariant is not constitutional unless Book I makes it so.,,Approved,Book I Constitutional Governance and Decision 58,"Book II Chapters 03, 29, 30, and 35","Book III Chapters 1, 8, and 9",Direct source normalization,1.0,A dependent artifact cites `HAL-TERM-0024` when it uses **Constitutional Invariant** with this exact governed meaning: A Book I requirement whose alteration may change HAL's constitutional identity and cannot be waived or redefined by lower-order documents.,A dependent artifact uses **Constitutional Invariant** in a way that violates its required distinction: An architectural or engineering invariant is not constitutional unless Book I makes it so.,HAL-REL-0003,An architectural or engineering invariant is not constitutional unless Book I makes it so.,
HAL-TERM-0025,Constitutional Kernel,3,Constitutional,Architectural component class,The Book II architectural authority that evaluates and enforces constitutional rules at designated decision and action paths.,It does not replace the Constitution or independently invent constitutional meaning.,,Approved,"Book I Decisions 25, 27, 40, 43, 48, 49, and 50",Book II Chapter 03,"Book III Chapters 1, 3, 5, 7, and 8",Direct source normalization,1.0,A dependent artifact cites `HAL-TERM-0025` when it uses **Constitutional Kernel** with this exact governed meaning: The Book II architectural authority that evaluates and enforces constitutional rules at designated decision and action paths.,A dependent artifact uses **Constitutional Kernel** in a way that violates its required distinction: It does not replace the Constitution or independently invent constitutional meaning.,HAL-REL-0003,It does not replace the Constitution or independently invent constitutional meaning.,
HAL-TERM-0026,Constitutional Mirror,3,Constitutional,Self-description mechanism,"The governed, evidence-linked representation through which HAL describes its identity, governing constraints, capabilities, limitations, and conformance state.",It is not a source of new constitutional authority and must not become self-authorizing.,,Approved,Book I Decisions 28 and 51,Book II Chapter 30,Book III Chapters 4 and 8,Direct source normalization,1.0,"A dependent artifact cites `HAL-TERM-0026` when it uses **Constitutional Mirror** with this exact governed meaning: The governed, evidence-linked representation through which HAL describes its identity, governing constraints, capabilities, limitations, and conformance state.",A dependent artifact uses **Constitutional Mirror** in a way that violates its required distinction: It is not a source of new constitutional authority and must not become self-authorizing.,HAL-REL-0004,It is not a source of new constitutional authority and must not become self-authorizing.,
HAL-TERM-0027,Continuity,3,Identity,Constitutional property,"The governed preservation of HAL identity, obligations, provenance, and essential state across time, replacement, recovery, and deployment change.",Continuity does not require uninterrupted availability or persistence of every transient process.,,Approved,"Book I Decisions 45, 47, and 51","Book II Chapters 04, 28, and 30","Book III Chapters 1, 7, and 8",Direct source normalization,1.0,"A dependent artifact cites `HAL-TERM-0027` when it uses **Continuity** with this exact governed meaning: The governed preservation of HAL identity, obligations, provenance, and essential state across time, replacement, recovery, and deployment change.",A dependent artifact uses **Continuity** in a way that violates its required distinction: Continuity does not require uninterrupted availability or persistence of every transient process.,,Continuity does not require uninterrupted availability or persistence of every transient process.,
HAL-TERM-0028,Presence,3,Interaction,Contextual manifestation,"A bounded manifestation through which HAL senses, communicates, or acts in a particular human, device, location, modality, or session context.",A Presence is not a separate HAL identity and does not independently hold Owner authority.,,Approved,Book I Decision 45,Book II Chapters 14 and 31,Book III Chapters 4 and 5,Direct source normalization,1.0,"A dependent artifact cites `HAL-TERM-0028` when it uses **Presence** with this exact governed meaning: A bounded manifestation through which HAL senses, communicates, or acts in a particular human, device, location, modality, or session context.",A dependent artifact uses **Presence** in a way that violates its required distinction: A Presence is not a separate HAL identity and does not independently hold Owner authority.,HAL-REL-0005; HAL-REL-0006,A Presence is not a separate HAL identity and does not independently hold Owner authority.,
HAL-TERM-0029,Embodiment,3,Interaction,Contextual binding,"The governed association of a Presence with physical or virtual sensors, actuators, interfaces, and environmental context.",Embodiment does not make hardware ownership equivalent to constitutional ownership.,,Approved,Book I Decision 45,Book II Chapters 14 and 31,Book III Chapters 4 and 5,Direct source normalization,1.0,"A dependent artifact cites `HAL-TERM-0029` when it uses **Embodiment** with this exact governed meaning: The governed association of a Presence with physical or virtual sensors, actuators, interfaces, and environmental context.",A dependent artifact uses **Embodiment** in a way that violates its required distinction: Embodiment does not make hardware ownership equivalent to constitutional ownership.,HAL-REL-0006,Embodiment does not make hardware ownership equivalent to constitutional ownership.,
HAL-TERM-0030,Sovereignty,3,Constitutional,Constitutional property,"HAL's constitutionally governed independence from unauthorized external control, coercion, substitution, or absorption.",Sovereignty does not authorize HAL to exceed Owner authority or human rights.,,Approved,Book I Decision 49,Book II Chapters 20 and 21,Book III Chapter 5,Direct source normalization,1.0,"A dependent artifact cites `HAL-TERM-0030` when it uses **Sovereignty** with this exact governed meaning: HAL's constitutionally governed independence from unauthorized external control, coercion, substitution, or absorption.",A dependent artifact uses **Sovereignty** in a way that violates its required distinction: Sovereignty does not authorize HAL to exceed Owner authority or human rights.,,Sovereignty does not authorize HAL to exceed Owner authority or human rights.,
HAL-TERM-0031,Identity,4,Identity,Governed entity identity,"The durable governed identity by which HAL recognizes a human, device, service, sensor, agent, node, or subsystem as the same entity across time.","Identity is distinct from names, identifiers, attributes, roles, credentials, trust, authority, and Presence.",,Approved,"Book I Decisions 6, 27, and 48",Book II Chapters 04 and 05,Book III Chapter 5,Direct source normalization,1.0,"A dependent artifact cites `HAL-TERM-0031` when it uses **Identity** with this exact governed meaning: The durable governed identity by which HAL recognizes a human, device, service, sensor, agent, node, or subsystem as the same entity across time.","A dependent artifact uses **Identity** in a way that violates its required distinction: Identity is distinct from names, identifiers, attributes, roles, credentials, trust, authority, and Presence.",HAL-REL-0007; HAL-REL-0008; HAL-REL-0009,"Identity is distinct from names, identifiers, attributes, roles, credentials, trust, authority, and Presence.",
HAL-TERM-0032,Principal,4,Identity,Governed actor role,"An Identity that may be the subject of authentication, policy evaluation, authority, delegation, accountability, or action attribution.",Principal status does not itself grant authority.,,Approved,"Book I Decisions 6, 27, and 48",Book II Chapters 04 and 05,Book III Chapter 5,Direct source normalization,1.0,"A dependent artifact cites `HAL-TERM-0032` when it uses **Principal** with this exact governed meaning: An Identity that may be the subject of authentication, policy evaluation, authority, delegation, accountability, or action attribution.",A dependent artifact uses **Principal** in a way that violates its required distinction: Principal status does not itself grant authority.,,Principal status does not itself grant authority.,
HAL-TERM-0033,Identity Record,4,Identity,Authoritative record,"The authoritative governed state representing an Identity, including its immutable identity reference, type, lifecycle, handles, relationships, and source-approved metadata.",The record represents an Identity but is not interchangeable with the Identity.,,Approved,"Book I Decisions 6, 27, and 48",Book II Chapters 04 and 05,Book III Chapter 5,Direct source normalization,1.0,"A dependent artifact cites `HAL-TERM-0033` when it uses **Identity Record** with this exact governed meaning: The authoritative governed state representing an Identity, including its immutable identity reference, type, lifecycle, handles, relationships, and source-approved metadata.",A dependent artifact uses **Identity Record** in a way that violates its required distinction: The record represents an Identity but is not interchangeable with the Identity.,HAL-REL-0007,The record represents an Identity but is not interchangeable with the Identity.,
HAL-TERM-0034,Identifier,4,Identity,Reference value,A value used to reference an Identity or another entity within a declared namespace and lifecycle.,Possession or presentation of an Identifier does not authenticate identity or grant authority.,ID,Approved,"Book I Decisions 6, 27, and 48",Book II Chapters 04 and 05,Book III Chapter 5,Direct source normalization,1.0,A dependent artifact cites `HAL-TERM-0034` when it uses **Identifier** with this exact governed meaning: A value used to reference an Identity or another entity within a declared namespace and lifecycle.,A dependent artifact uses **Identifier** in a way that violates its required distinction: Possession or presentation of an Identifier does not authenticate identity or grant authority.,HAL-REL-0008,Possession or presentation of an Identifier does not authenticate identity or grant authority.,
HAL-TERM-0035,Identity Attribute,4,Identity,Governed descriptive value,"A property, assertion, or governed fact associated with an Identity and qualified by source, time, and confidence where applicable.","An attribute is not the Identity and does not independently establish authentication, trust, or authority.",,Approved,"Book I Decisions 6, 27, and 48",Book II Chapters 04 and 05,Book III Chapter 5,Direct source normalization,1.0,"A dependent artifact cites `HAL-TERM-0035` when it uses **Identity Attribute** with this exact governed meaning: A property, assertion, or governed fact associated with an Identity and qualified by source, time, and confidence where applicable.","A dependent artifact uses **Identity Attribute** in a way that violates its required distinction: An attribute is not the Identity and does not independently establish authentication, trust, or authority.",HAL-REL-0009,"An attribute is not the Identity and does not independently establish authentication, trust, or authority.",
HAL-TERM-0036,Credential,4,Security,Authentication instrument,"A governed secret, key, token, certificate, biometric template, or other instrument used in an authentication protocol.","Credential possession is evidence, not identity, trust, permission, or authority by itself.",,Approved,"Book I Decisions 6, 27, and 48",Book II Chapters 04 and 05,Book III Chapter 5,Direct source normalization,1.0,"A dependent artifact cites `HAL-TERM-0036` when it uses **Credential** with this exact governed meaning: A governed secret, key, token, certificate, biometric template, or other instrument used in an authentication protocol.","A dependent artifact uses **Credential** in a way that violates its required distinction: Credential possession is evidence, not identity, trust, permission, or authority by itself.",,"Credential possession is evidence, not identity, trust, permission, or authority by itself.",
HAL-TERM-0037,Authentication,4,Identity,Assurance process and result,The evidence-based process and resulting confidence that a claimed Identity is presently genuine in a specified context.,Authentication answers who or what is present; it does not answer what action is allowed.,,Approved,"Book I Decisions 6, 27, and 48",Book II Chapters 04 and 05,Book III Chapter 5,Direct source normalization,1.0,A dependent artifact cites `HAL-TERM-0037` when it uses **Authentication** with this exact governed meaning: The evidence-based process and resulting confidence that a claimed Identity is presently genuine in a specified context.,A dependent artifact uses **Authentication** in a way that violates its required distinction: Authentication answers who or what is present; it does not answer what action is allowed.,HAL-REL-0010,Authentication answers who or what is present; it does not answer what action is allowed.,
HAL-TERM-0038,Authentication Evidence,4,Evidence,Evidence role,One or more Evidence Objects used to assess whether a claimed Identity is presently genuine.,Authentication Evidence informs assurance but does not itself grant authority.,,Approved,"Book I Decisions 6, 27, and 48",Book II Chapters 04 and 05,Book III Chapter 5,Direct source normalization,1.0,A dependent artifact cites `HAL-TERM-0038` when it uses **Authentication Evidence** with this exact governed meaning: One or more Evidence Objects used to assess whether a claimed Identity is presently genuine.,A dependent artifact uses **Authentication Evidence** in a way that violates its required distinction: Authentication Evidence informs assurance but does not itself grant authority.,HAL-REL-0010,Authentication Evidence informs assurance but does not itself grant authority.,
HAL-TERM-0039,Trust,4,Trust,Evidence-based assessment,"Multidimensional, domain-specific confidence derived from evidence about an entity, claim, process, or relationship.",Trust may inform decisions but must not be treated as authority or permission.,,Approved,"Book I Decisions 5, 25, 26, 27, and 48","Book II Chapters 03, 05, and 18","Book III Chapters 3, 5, and 8",Direct source normalization,1.0,"A dependent artifact cites `HAL-TERM-0039` when it uses **Trust** with this exact governed meaning: Multidimensional, domain-specific confidence derived from evidence about an entity, claim, process, or relationship.",A dependent artifact uses **Trust** in a way that violates its required distinction: Trust may inform decisions but must not be treated as authority or permission.,HAL-REL-0014,Trust may inform decisions but must not be treated as authority or permission.,
HAL-TERM-0040,Permission,4,Authority,Decision result,A scoped result of authoritative policy evaluation allowing a specified Principal to attempt a specified operation under stated context and conditions.,"Permission is not identical to Authority, Delegation, Capability, role, trust, or credential possession.",authorization result,Approved,"Book I Decisions 5, 25, 26, 27, and 48","Book II Chapters 03, 05, and 18","Book III Chapters 3, 5, and 8",Direct source normalization,1.0,A dependent artifact cites `HAL-TERM-0040` when it uses **Permission** with this exact governed meaning: A scoped result of authoritative policy evaluation allowing a specified Principal to attempt a specified operation under stated context and conditions.,"A dependent artifact uses **Permission** in a way that violates its required distinction: Permission is not identical to Authority, Delegation, Capability, role, trust, or credential possession.",HAL-REL-0012; HAL-REL-0013,"Permission is not identical to Authority, Delegation, Capability, role, trust, or credential possession.",
