contract_id,interface_id,component_id,kind,name,provider,consumers,route,schema_id,security_profile,delivery_profile,status
IX-C-0018,CMP-02-IF-09,CMP-02,Event,Identity Suspended,Identity and Continuity Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-02/identity-suspended,urn:hal:book-ix:ix-c-0018:1.0,HAL-Internal-Authority-v1,Event-AtLeastOnce-v1,FINAL
IX-C-0019,CMP-02-IF-10,CMP-02,Event,Continuity Reconciled,Identity and Continuity Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-02/continuity-reconciled,urn:hal:book-ix:ix-c-0019:1.0,HAL-Internal-Authority-v1,Event-AtLeastOnce-v1,FINAL
IX-C-0020,CMP-03-IF-01,CMP-03,Command,Grant Delegation,Authority and Delegation Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-03/grant-delegation,urn:hal:book-ix:ix-c-0020:1.0,HAL-Internal-Authority-v1,Command-Idempotent-v1,FINAL
IX-C-0021,CMP-03-IF-02,CMP-03,Command,Revoke Delegation,Authority and Delegation Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-03/revoke-delegation,urn:hal:book-ix:ix-c-0021:1.0,HAL-Internal-Authority-v1,Command-Idempotent-v1,FINAL
IX-C-0022,CMP-03-IF-03,CMP-03,Command,Evaluate Permission,Authority and Delegation Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-03/evaluate-permission,urn:hal:book-ix:ix-c-0022:1.0,HAL-Internal-Authority-v1,Command-Idempotent-v1,FINAL
IX-C-0023,CMP-03-IF-04,CMP-03,Command,Expire Delegation,Authority and Delegation Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-03/expire-delegation,urn:hal:book-ix:ix-c-0023:1.0,HAL-Internal-Authority-v1,Command-Idempotent-v1,FINAL
IX-C-0024,CMP-03-IF-05,CMP-03,Query,Get Effective Authority,Authority and Delegation Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-03/get-effective-authority,urn:hal:book-ix:ix-c-0024:1.0,HAL-Internal-Authority-v1,Query-Bounded-v1,FINAL
IX-C-0025,CMP-03-IF-06,CMP-03,Query,Explain Policy Decision,Authority and Delegation Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-03/explain-policy-decision,urn:hal:book-ix:ix-c-0025:1.0,HAL-Internal-Authority-v1,Query-Bounded-v1,FINAL
IX-C-0026,CMP-03-IF-07,CMP-03,Query,List Active Delegations,Authority and Delegation Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-03/list-active-delegations,urn:hal:book-ix:ix-c-0026:1.0,HAL-Internal-Authority-v1,Query-Bounded-v1,FINAL
IX-C-0027,CMP-03-IF-08,CMP-03,Event,Delegation Activated,Authority and Delegation Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-03/delegation-activated,urn:hal:book-ix:ix-c-0027:1.0,HAL-Internal-Authority-v1,Event-AtLeastOnce-v1,FINAL
IX-C-0028,CMP-03-IF-09,CMP-03,Event,Delegation Revoked,Authority and Delegation Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-03/delegation-revoked,urn:hal:book-ix:ix-c-0028:1.0,HAL-Internal-Authority-v1,Event-AtLeastOnce-v1,FINAL
IX-C-0029,CMP-03-IF-10,CMP-03,Event,Permission Decided,Authority and Delegation Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-03/permission-decided,urn:hal:book-ix:ix-c-0029:1.0,HAL-Internal-Authority-v1,Event-AtLeastOnce-v1,FINAL
IX-C-0030,CMP-04-IF-01,CMP-04,Command,Register Intent,Intent Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-04/register-intent,urn:hal:book-ix:ix-c-0030:1.0,HAL-Internal-Authority-v1,Command-Idempotent-v1,FINAL
IX-C-0031,CMP-04-IF-02,CMP-04,Command,Revise Intent,Intent Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-04/revise-intent,urn:hal:book-ix:ix-c-0031:1.0,HAL-Internal-Authority-v1,Command-Idempotent-v1,FINAL
IX-C-0032,CMP-04-IF-03,CMP-04,Command,Decompose Goal,Intent Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-04/decompose-goal,urn:hal:book-ix:ix-c-0032:1.0,HAL-Internal-Authority-v1,Command-Idempotent-v1,FINAL
IX-C-0033,CMP-04-IF-04,CMP-04,Command,Retire Intent,Intent Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-04/retire-intent,urn:hal:book-ix:ix-c-0033:1.0,HAL-Internal-Authority-v1,Command-Idempotent-v1,FINAL
IX-C-0034,CMP-04-IF-05,CMP-04,Query,Get Intent Graph,Intent Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-04/get-intent-graph,urn:hal:book-ix:ix-c-0034:1.0,HAL-Internal-Authority-v1,Query-Bounded-v1,FINAL
IX-C-0035,CMP-04-IF-06,CMP-04,Query,Trace Objective,Intent Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-04/trace-objective,urn:hal:book-ix:ix-c-0035:1.0,HAL-Internal-Authority-v1,Query-Bounded-v1,FINAL
IX-C-0036,CMP-04-IF-07,CMP-04,Query,List Outcome Criteria,Intent Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-04/list-outcome-criteria,urn:hal:book-ix:ix-c-0036:1.0,HAL-Internal-Authority-v1,Query-Bounded-v1,FINAL
IX-C-0037,CMP-04-IF-08,CMP-04,Event,Intent Registered,Intent Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-04/intent-registered,urn:hal:book-ix:ix-c-0037:1.0,HAL-Internal-Authority-v1,Event-AtLeastOnce-v1,FINAL
IX-C-0038,CMP-04-IF-09,CMP-04,Event,Intent Revised,Intent Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-04/intent-revised,urn:hal:book-ix:ix-c-0038:1.0,HAL-Internal-Authority-v1,Event-AtLeastOnce-v1,FINAL
IX-C-0039,CMP-04-IF-10,CMP-04,Event,Objective Retired,Intent Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-04/objective-retired,urn:hal:book-ix:ix-c-0039:1.0,HAL-Internal-Authority-v1,Event-AtLeastOnce-v1,FINAL
IX-C-0040,CMP-05-IF-01,CMP-05,Command,Start Orchestration,Cognitive Orchestrator,Authorized HAL components and operators with declared need,/hal/v1/cmp-05/start-orchestration,urn:hal:book-ix:ix-c-0040:1.0,HAL-Internal-Authority-v1,Command-Idempotent-v1,FINAL
IX-C-0041,CMP-05-IF-02,CMP-05,Command,Advance Execution Graph,Cognitive Orchestrator,Authorized HAL components and operators with declared need,/hal/v1/cmp-05/advance-execution-graph,urn:hal:book-ix:ix-c-0041:1.0,HAL-Internal-Authority-v1,Command-Idempotent-v1,FINAL
IX-C-0042,CMP-05-IF-03,CMP-05,Command,Cancel Run,Cognitive Orchestrator,Authorized HAL components and operators with declared need,/hal/v1/cmp-05/cancel-run,urn:hal:book-ix:ix-c-0042:1.0,HAL-Internal-Authority-v1,Command-Idempotent-v1,FINAL
IX-C-0043,CMP-05-IF-04,CMP-05,Command,Request Provider Work,Cognitive Orchestrator,Authorized HAL components and operators with declared need,/hal/v1/cmp-05/request-provider-work,urn:hal:book-ix:ix-c-0043:1.0,HAL-Internal-Authority-v1,Command-Idempotent-v1,FINAL
IX-C-0044,CMP-05-IF-05,CMP-05,Query,Get Run State,Cognitive Orchestrator,Authorized HAL components and operators with declared need,/hal/v1/cmp-05/get-run-state,urn:hal:book-ix:ix-c-0044:1.0,HAL-Internal-Authority-v1,Query-Bounded-v1,FINAL
IX-C-0045,CMP-05-IF-06,CMP-05,Query,Explain Routing,Cognitive Orchestrator,Authorized HAL components and operators with declared need,/hal/v1/cmp-05/explain-routing,urn:hal:book-ix:ix-c-0045:1.0,HAL-Internal-Authority-v1,Query-Bounded-v1,FINAL
IX-C-0046,CMP-05-IF-07,CMP-05,Query,Get Execution Graph,Cognitive Orchestrator,Authorized HAL components and operators with declared need,/hal/v1/cmp-05/get-execution-graph,urn:hal:book-ix:ix-c-0046:1.0,HAL-Internal-Authority-v1,Query-Bounded-v1,FINAL
IX-C-0047,CMP-05-IF-08,CMP-05,Event,Run Started,Cognitive Orchestrator,Authorized HAL components and operators with declared need,/hal/v1/cmp-05/run-started,urn:hal:book-ix:ix-c-0047:1.0,HAL-Internal-Authority-v1,Event-AtLeastOnce-v1,FINAL
IX-C-0048,CMP-05-IF-09,CMP-05,Event,Node Completed,Cognitive Orchestrator,Authorized HAL components and operators with declared need,/hal/v1/cmp-05/node-completed,urn:hal:book-ix:ix-c-0048:1.0,HAL-Internal-Authority-v1,Event-AtLeastOnce-v1,FINAL
IX-C-0049,CMP-05-IF-10,CMP-05,Event,Run Failed,Cognitive Orchestrator,Authorized HAL components and operators with declared need,/hal/v1/cmp-05/run-failed,urn:hal:book-ix:ix-c-0049:1.0,HAL-Internal-Authority-v1,Event-AtLeastOnce-v1,FINAL
IX-C-0050,CMP-05-IF-11,CMP-05,Event,Result Assembled,Cognitive Orchestrator,Authorized HAL components and operators with declared need,/hal/v1/cmp-05/result-assembled,urn:hal:book-ix:ix-c-0050:1.0,HAL-Internal-Authority-v1,Event-AtLeastOnce-v1,FINAL
IX-C-0051,CMP-06-IF-01,CMP-06,Command,Submit Attention Request,Attention Manager,Authorized HAL components and operators with declared need,/hal/v1/cmp-06/submit-attention-request,urn:hal:book-ix:ix-c-0051:1.0,HAL-Internal-Authority-v1,Command-Idempotent-v1,FINAL
IX-C-0052,CMP-06-IF-02,CMP-06,Command,Admit Work,Attention Manager,Authorized HAL components and operators with declared need,/hal/v1/cmp-06/admit-work,urn:hal:book-ix:ix-c-0052:1.0,HAL-Internal-Authority-v1,Command-Idempotent-v1,FINAL
IX-C-0053,CMP-06-IF-03,CMP-06,Command,Preempt Work,Attention Manager,Authorized HAL components and operators with declared need,/hal/v1/cmp-06/preempt-work,urn:hal:book-ix:ix-c-0053:1.0,HAL-Internal-Authority-v1,Command-Idempotent-v1,FINAL
IX-C-0054,CMP-06-IF-04,CMP-06,Command,Release Placement,Attention Manager,Authorized HAL components and operators with declared need,/hal/v1/cmp-06/release-placement,urn:hal:book-ix:ix-c-0054:1.0,HAL-Internal-Authority-v1,Command-Idempotent-v1,FINAL
IX-C-0055,CMP-06-IF-05,CMP-06,Query,Get Queue State,Attention Manager,Authorized HAL components and operators with declared need,/hal/v1/cmp-06/get-queue-state,urn:hal:book-ix:ix-c-0055:1.0,HAL-Internal-Authority-v1,Query-Bounded-v1,FINAL
IX-C-0056,CMP-06-IF-06,CMP-06,Query,Explain Priority,Attention Manager,Authorized HAL components and operators with declared need,/hal/v1/cmp-06/explain-priority,urn:hal:book-ix:ix-c-0056:1.0,HAL-Internal-Authority-v1,Query-Bounded-v1,FINAL
IX-C-0057,CMP-06-IF-07,CMP-06,Query,Get Placement,Attention Manager,Authorized HAL components and operators with declared need,/hal/v1/cmp-06/get-placement,urn:hal:book-ix:ix-c-0057:1.0,HAL-Internal-Authority-v1,Query-Bounded-v1,FINAL
IX-C-0058,CMP-06-IF-08,CMP-06,Event,Work Admitted,Attention Manager,Authorized HAL components and operators with declared need,/hal/v1/cmp-06/work-admitted,urn:hal:book-ix:ix-c-0058:1.0,HAL-Internal-Authority-v1,Event-AtLeastOnce-v1,FINAL
IX-C-0059,CMP-06-IF-09,CMP-06,Event,Work Preempted,Attention Manager,Authorized HAL components and operators with declared need,/hal/v1/cmp-06/work-preempted,urn:hal:book-ix:ix-c-0059:1.0,HAL-Internal-Authority-v1,Event-AtLeastOnce-v1,FINAL
IX-C-0060,CMP-06-IF-10,CMP-06,Event,Placement Released,Attention Manager,Authorized HAL components and operators with declared need,/hal/v1/cmp-06/placement-released,urn:hal:book-ix:ix-c-0060:1.0,HAL-Internal-Authority-v1,Event-AtLeastOnce-v1,FINAL
IX-C-0061,CMP-07-IF-01,CMP-07,Command,Request Judgment,Judgment Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-07/request-judgment,urn:hal:book-ix:ix-c-0061:1.0,HAL-Internal-Authority-v1,Command-Idempotent-v1,FINAL
IX-C-0062,CMP-07-IF-02,CMP-07,Command,Record Decision,Judgment Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-07/record-decision,urn:hal:book-ix:ix-c-0062:1.0,HAL-Internal-Authority-v1,Command-Idempotent-v1,FINAL
IX-C-0063,CMP-07-IF-03,CMP-07,Command,Reconsider Decision,Judgment Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-07/reconsider-decision,urn:hal:book-ix:ix-c-0063:1.0,HAL-Internal-Authority-v1,Command-Idempotent-v1,FINAL
IX-C-0064,CMP-07-IF-04,CMP-07,Command,Withdraw Decision,Judgment Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-07/withdraw-decision,urn:hal:book-ix:ix-c-0064:1.0,HAL-Internal-Authority-v1,Command-Idempotent-v1,FINAL
IX-C-0065,CMP-07-IF-05,CMP-07,Query,Get Decision Object,Judgment Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-07/get-decision-object,urn:hal:book-ix:ix-c-0065:1.0,HAL-Internal-Authority-v1,Query-Bounded-v1,FINAL
IX-C-0066,CMP-07-IF-06,CMP-07,Query,Explain Rationale,Judgment Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-07/explain-rationale,urn:hal:book-ix:ix-c-0066:1.0,HAL-Internal-Authority-v1,Query-Bounded-v1,FINAL
IX-C-0067,CMP-07-IF-07,CMP-07,Query,List Alternatives,Judgment Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-07/list-alternatives,urn:hal:book-ix:ix-c-0067:1.0,HAL-Internal-Authority-v1,Query-Bounded-v1,FINAL
IX-C-0068,CMP-07-IF-08,CMP-07,Event,Decision Recorded,Judgment Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-07/decision-recorded,urn:hal:book-ix:ix-c-0068:1.0,HAL-Internal-Authority-v1,Event-AtLeastOnce-v1,FINAL
IX-C-0069,CMP-07-IF-09,CMP-07,Event,Decision Reconsidered,Judgment Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-07/decision-reconsidered,urn:hal:book-ix:ix-c-0069:1.0,HAL-Internal-Authority-v1,Event-AtLeastOnce-v1,FINAL
IX-C-0070,CMP-07-IF-10,CMP-07,Event,Decision Withdrawn,Judgment Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-07/decision-withdrawn,urn:hal:book-ix:ix-c-0070:1.0,HAL-Internal-Authority-v1,Event-AtLeastOnce-v1,FINAL
IX-C-0071,CMP-08-IF-01,CMP-08,Command,Admit Knowledge Assertion,Knowledge Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-08/admit-knowledge-assertion,urn:hal:book-ix:ix-c-0071:1.0,HAL-Internal-Authority-v1,Command-Idempotent-v1,FINAL
IX-C-0072,CMP-08-IF-02,CMP-08,Command,Revise Knowledge Link,Knowledge Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-08/revise-knowledge-link,urn:hal:book-ix:ix-c-0072:1.0,HAL-Internal-Authority-v1,Command-Idempotent-v1,FINAL
IX-C-0073,CMP-08-IF-03,CMP-08,Command,Invalidate Assertion,Knowledge Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-08/invalidate-assertion,urn:hal:book-ix:ix-c-0073:1.0,HAL-Internal-Authority-v1,Command-Idempotent-v1,FINAL
IX-C-0074,CMP-08-IF-04,CMP-08,Command,Rebuild Index,Knowledge Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-08/rebuild-index,urn:hal:book-ix:ix-c-0074:1.0,HAL-Internal-Authority-v1,Command-Idempotent-v1,FINAL
IX-C-0075,CMP-08-IF-05,CMP-08,Query,Query Knowledge,Knowledge Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-08/query-knowledge,urn:hal:book-ix:ix-c-0075:1.0,HAL-Internal-Authority-v1,Query-Bounded-v1,FINAL
IX-C-0076,CMP-08-IF-06,CMP-08,Query,Trace Provenance,Knowledge Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-08/trace-provenance,urn:hal:book-ix:ix-c-0076:1.0,HAL-Internal-Authority-v1,Query-Bounded-v1,FINAL
IX-C-0077,CMP-08-IF-07,CMP-08,Query,Get Validity Context,Knowledge Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-08/get-validity-context,urn:hal:book-ix:ix-c-0077:1.0,HAL-Internal-Authority-v1,Query-Bounded-v1,FINAL
IX-C-0078,CMP-08-IF-08,CMP-08,Event,Knowledge Admitted,Knowledge Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-08/knowledge-admitted,urn:hal:book-ix:ix-c-0078:1.0,HAL-Internal-Authority-v1,Event-AtLeastOnce-v1,FINAL
IX-C-0079,CMP-08-IF-09,CMP-08,Event,Assertion Invalidated,Knowledge Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-08/assertion-invalidated,urn:hal:book-ix:ix-c-0079:1.0,HAL-Internal-Authority-v1,Event-AtLeastOnce-v1,FINAL
IX-C-0080,CMP-08-IF-10,CMP-08,Event,Index Rebuilt,Knowledge Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-08/index-rebuilt,urn:hal:book-ix:ix-c-0080:1.0,HAL-Internal-Authority-v1,Event-AtLeastOnce-v1,FINAL
IX-C-0081,CMP-09-IF-01,CMP-09,Command,Store Memory Association,Memory System,Authorized HAL components and operators with declared need,/hal/v1/cmp-09/store-memory-association,urn:hal:book-ix:ix-c-0081:1.0,HAL-Internal-Authority-v1,Command-Idempotent-v1,FINAL
IX-C-0082,CMP-09-IF-02,CMP-09,Command,Revise Association,Memory System,Authorized HAL components and operators with declared need,/hal/v1/cmp-09/revise-association,urn:hal:book-ix:ix-c-0082:1.0,HAL-Internal-Authority-v1,Command-Idempotent-v1,FINAL
IX-C-0083,CMP-09-IF-03,CMP-09,Command,Forget Memory,Memory System,Authorized HAL components and operators with declared need,/hal/v1/cmp-09/forget-memory,urn:hal:book-ix:ix-c-0083:1.0,HAL-Internal-Authority-v1,Command-Idempotent-v1,FINAL
IX-C-0084,CMP-09-IF-04,CMP-09,Command,Reconcile Conversation,Memory System,Authorized HAL components and operators with declared need,/hal/v1/cmp-09/reconcile-conversation,urn:hal:book-ix:ix-c-0084:1.0,HAL-Internal-Authority-v1,Command-Idempotent-v1,FINAL
IX-C-0085,CMP-09-IF-05,CMP-09,Query,Recall Memory,Memory System,Authorized HAL components and operators with declared need,/hal/v1/cmp-09/recall-memory,urn:hal:book-ix:ix-c-0085:1.0,HAL-Internal-Authority-v1,Query-Bounded-v1,FINAL
IX-C-0086,CMP-09-IF-06,CMP-09,Query,Trace Memory Source,Memory System,Authorized HAL components and operators with declared need,/hal/v1/cmp-09/trace-memory-source,urn:hal:book-ix:ix-c-0086:1.0,HAL-Internal-Authority-v1,Query-Bounded-v1,FINAL
IX-C-0087,CMP-09-IF-07,CMP-09,Query,Get Retention Status,Memory System,Authorized HAL components and operators with declared need,/hal/v1/cmp-09/get-retention-status,urn:hal:book-ix:ix-c-0087:1.0,HAL-Internal-Authority-v1,Query-Bounded-v1,FINAL
IX-C-0088,CMP-09-IF-08,CMP-09,Event,Memory Associated,Memory System,Authorized HAL components and operators with declared need,/hal/v1/cmp-09/memory-associated,urn:hal:book-ix:ix-c-0088:1.0,HAL-Internal-Authority-v1,Event-AtLeastOnce-v1,FINAL
IX-C-0089,CMP-09-IF-09,CMP-09,Event,Memory Forgotten,Memory System,Authorized HAL components and operators with declared need,/hal/v1/cmp-09/memory-forgotten,urn:hal:book-ix:ix-c-0089:1.0,HAL-Internal-Authority-v1,Event-AtLeastOnce-v1,FINAL
IX-C-0090,CMP-09-IF-10,CMP-09,Event,Conversation Reconciled,Memory System,Authorized HAL components and operators with declared need,/hal/v1/cmp-09/conversation-reconciled,urn:hal:book-ix:ix-c-0090:1.0,HAL-Internal-Authority-v1,Event-AtLeastOnce-v1,FINAL
IX-C-0091,CMP-10-IF-01,CMP-10,Command,Record Experience,Learning and Wisdom System,Authorized HAL components and operators with declared need,/hal/v1/cmp-10/record-experience,urn:hal:book-ix:ix-c-0091:1.0,HAL-Internal-Authority-v1,Command-Idempotent-v1,FINAL
IX-C-0092,CMP-10-IF-02,CMP-10,Command,Propose Pattern,Learning and Wisdom System,Authorized HAL components and operators with declared need,/hal/v1/cmp-10/propose-pattern,urn:hal:book-ix:ix-c-0092:1.0,HAL-Internal-Authority-v1,Command-Idempotent-v1,FINAL
IX-C-0093,CMP-10-IF-03,CMP-10,Command,Promote Pattern,Learning and Wisdom System,Authorized HAL components and operators with declared need,/hal/v1/cmp-10/promote-pattern,urn:hal:book-ix:ix-c-0093:1.0,HAL-Internal-Authority-v1,Command-Idempotent-v1,FINAL
IX-C-0094,CMP-10-IF-04,CMP-10,Command,Retire Wisdom,Learning and Wisdom System,Authorized HAL components and operators with declared need,/hal/v1/cmp-10/retire-wisdom,urn:hal:book-ix:ix-c-0094:1.0,HAL-Internal-Authority-v1,Command-Idempotent-v1,FINAL
IX-C-0095,CMP-10-IF-05,CMP-10,Query,Get Experience,Learning and Wisdom System,Authorized HAL components and operators with declared need,/hal/v1/cmp-10/get-experience,urn:hal:book-ix:ix-c-0095:1.0,HAL-Internal-Authority-v1,Query-Bounded-v1,FINAL
IX-C-0096,CMP-10-IF-06,CMP-10,Query,Explain Pattern,Learning and Wisdom System,Authorized HAL components and operators with declared need,/hal/v1/cmp-10/explain-pattern,urn:hal:book-ix:ix-c-0096:1.0,HAL-Internal-Authority-v1,Query-Bounded-v1,FINAL
IX-C-0097,CMP-10-IF-07,CMP-10,Query,Get Wisdom Limits,Learning and Wisdom System,Authorized HAL components and operators with declared need,/hal/v1/cmp-10/get-wisdom-limits,urn:hal:book-ix:ix-c-0097:1.0,HAL-Internal-Authority-v1,Query-Bounded-v1,FINAL
IX-C-0098,CMP-10-IF-08,CMP-10,Event,Experience Recorded,Learning and Wisdom System,Authorized HAL components and operators with declared need,/hal/v1/cmp-10/experience-recorded,urn:hal:book-ix:ix-c-0098:1.0,HAL-Internal-Authority-v1,Event-AtLeastOnce-v1,FINAL
IX-C-0099,CMP-10-IF-09,CMP-10,Event,Pattern Promoted,Learning and Wisdom System,Authorized HAL components and operators with declared need,/hal/v1/cmp-10/pattern-promoted,urn:hal:book-ix:ix-c-0099:1.0,HAL-Internal-Authority-v1,Event-AtLeastOnce-v1,FINAL
IX-C-0100,CMP-10-IF-10,CMP-10,Event,Wisdom Retired,Learning and Wisdom System,Authorized HAL components and operators with declared need,/hal/v1/cmp-10/wisdom-retired,urn:hal:book-ix:ix-c-0100:1.0,HAL-Internal-Authority-v1,Event-AtLeastOnce-v1,FINAL
IX-C-0101,CMP-11-IF-01,CMP-11,Command,Issue Lease,Temporal Service,Authorized HAL components and operators with declared need,/hal/v1/cmp-11/issue-lease,urn:hal:book-ix:ix-c-0101:1.0,HAL-Internal-Authority-v1,Command-Idempotent-v1,FINAL
