control_id,title,requirement,applicability,responsible_role,enforcement,evidence,severity,exception_authority,source,chapter,automation
BDY-03-006,Recuse conflicted decision-makers,A materially conflicted person MUST NOT be the sole reviewer or approver and MUST recuse when impartial participation cannot be protected.,conflicted decisions,Body Chair,"workflow gate, register validation, and independent review",Recusal Record,Critical,Independent Ethics Reviewer,"Book I Articles VI, XI, XII and Decision 58; Book III review controls; Book VIII independence controls",03,Automated completeness/integrity checks plus human authority review
BDY-03-007,Protect deliberative integrity,"Governance MUST prevent coercion, retaliation, fabricated urgency, hidden evidence, off-record binding decisions, and selective minutes.",all deliberation,Governance Chair,"workflow gate, register validation, and independent review",Integrity Review,Critical,none,"Book I Articles VI, XI, XII and Decision 58; Book III review controls; Book VIII independence controls",03,Automated completeness/integrity checks plus human authority review
BDY-03-008,Review body effectiveness,"Each standing body MUST undergo periodic review of necessity, burden, decisions, calibration, diversity of evidence, conflicts, appeals, and sunset.",standing bodies,Governance Auditor,"workflow gate, register validation, and independent review",Body Effectiveness Review,High,Appointing Authority,"Book I Articles VI, XI, XII and Decision 58; Book III review controls; Book VIII independence controls",03,Automated completeness/integrity checks plus human authority review
CST-04-001,Use Constitutional Change Objects,"Every proposed amendment MUST record motivation, insufficiency of current principles, alternatives, benefits, risks, compatibility, affected decisions, verification, migration, rollback, Owner Authorization Ceremony status, and disposition.",constitutional proposals,Constitutional Steward,"workflow gate, register validation, and independent review",Constitutional Change Object,Critical,none,Book I Constitutional Governance and Decision 58; Book II Constitutional Kernel; Book VIII verification ladder,04,Automated completeness/integrity checks plus human authority review
CST-04-002,Apply the twenty-year test,"A proposal MUST explain whether the change should remain true in twenty years and why ordinary policy, architecture, or engineering change is insufficient.",constitutional proposals,Proposal Sponsor,"workflow gate, register validation, and independent review",Stewardship Analysis,Critical,none,Book I Constitutional Governance and Decision 58; Book II Constitutional Kernel; Book VIII verification ladder,04,Automated completeness/integrity checks plus human authority review
CST-04-003,Protect the Owner Authorization Ceremony,"Only the Owner, or Authority explicitly delegated through the constitutional process where Book I permits delegation, MAY approve constitutional change through the Owner Authorization Ceremony.",constitutional amendments,Constitutional Steward,"workflow gate, register validation, and independent review",Owner Authorization Ceremony Record,Critical,Owner,Book I Constitutional Governance and Decision 58; Book II Constitutional Kernel; Book VIII verification ladder,04,Automated completeness/integrity checks plus human authority review
CST-04-004,Recognize invariant changes,A proposal affecting a constitutional invariant MUST explicitly state that it may create a fundamentally different constitutional system and MUST use extraordinary recognition.,invariant changes,Constitutional Steward,"workflow gate, register validation, and independent review",Invariant Impact Finding,Critical,Owner,Book I Constitutional Governance and Decision 58; Book II Constitutional Kernel; Book VIII verification ladder,04,Automated completeness/integrity checks plus human authority review
CST-04-005,Verify before incorporation,"Amendments MUST progress through analysis, simulation, compatibility review, Owner Authorization Ceremony, staged adoption, observation, and incorporation.",authorized amendments,Amendment Program Lead,"workflow gate, register validation, and independent review",Verification Ladder Evidence,Critical,none,Book I Constitutional Governance and Decision 58; Book II Constitutional Kernel; Book VIII verification ladder,04,Automated completeness/integrity checks plus human authority review
CST-04-006,Preserve immutable history,"The signed Constitution, amendment proposal, Owner Authorization Ceremony Record, prior versions, commentary, Evidence Objects, and disposition MUST remain immutable and publicly distinguishable by status.",all amendments,Constitutional Archivist,"workflow gate, register validation, and independent review",Version and Custody Manifest,Critical,none,Book I Constitutional Governance and Decision 58; Book II Constitutional Kernel; Book VIII verification ladder,04,Automated completeness/integrity checks plus human authority review
CST-04-007,Separate authority from commentary,"Commentary, principles, rules, and operational policies MUST NOT be presented as constitutional text or silently gain constitutional force.",all publications,Constitutional Archivist,"workflow gate, register validation, and independent review",Publication Classification Review,Critical,none,Book I Constitutional Governance and Decision 58; Book II Constitutional Kernel; Book VIII verification ladder,04,Automated completeness/integrity checks plus human authority review
CST-04-008,Conduct stewardship review,"Periodic stewardship review MUST assess continuity, legitimacy, outdated assumptions, unresolved harms, amendment pressure, and whether lower-order artifacts have drifted from Book I.",constitutional stewardship,Constitutional Steward,"workflow gate, register validation, and independent review",Stewardship Review Report,High,Owner,Book I Constitutional Governance and Decision 58; Book II Constitutional Kernel; Book VIII verification ladder,04,Automated completeness/integrity checks plus human authority review
ARC-05-001,Use architecture governance,"Material architecture changes MUST follow Book II governance and include affected invariants, state owners, trust boundaries, interfaces, failure behavior, migration, verification, and rollback.",architecture changes,Architecture Authority,"workflow gate, register validation, and independent review",Architecture Decision Record,Critical,Architecture Authority,"Books II-IV and IX; Book III architecture, engineering-policy, exception, and review controls",05,Automated completeness/integrity checks plus human authority review
ARC-05-002,Forbid administrative redesign,"A governance meeting, budget, incident, exception, or procurement decision MUST NOT silently redesign Book II or Book IV.",all technical governance,Constitutional Steward,"workflow gate, register validation, and independent review",Architecture Conformance Review,Critical,none,"Books II-IV and IX; Book III architecture, engineering-policy, exception, and review controls",05,Automated completeness/integrity checks plus human authority review
ARC-05-003,Govern engineering standards,"Book III policy changes MUST state control impact, burden, enforceability, evidence, compatibility, rollout, exceptions, and review date.",engineering policy,Engineering Standards Authority,"workflow gate, register validation, and independent review",Policy Change Record,High,Engineering Standards Authority,"Books II-IV and IX; Book III architecture, engineering-policy, exception, and review controls",05,Automated completeness/integrity checks plus human authority review
ARC-05-004,Preserve component ownership,"Governance MUST NOT assign multiple mutation owners, transfer component responsibility by implication, or approve a shortcut prohibited by Book IV.",component decisions,Architecture Reviewer,"workflow gate, register validation, and independent review",Ownership Matrix Check,Critical,none,"Books II-IV and IX; Book III architecture, engineering-policy, exception, and review controls",05,Automated completeness/integrity checks plus human authority review
ARC-05-005,Control technical debt,"Accepted debt MUST identify violated expectation, risk, owner, compensating controls, evidence, repayment or retirement date, and escalation trigger.",technical debt,Engineering Authority,"workflow gate, register validation, and independent review",Technical Debt Record,High,Engineering Authority,"Books II-IV and IX; Book III architecture, engineering-policy, exception, and review controls",05,Automated completeness/integrity checks plus human authority review
ARC-05-006,Govern deprecation,"Deprecation and removal MUST identify users, compatibility, notice, migration, evidence, rollback, effective date, and final authority.",technical retirement,Component Owner,"workflow gate, register validation, and independent review",Deprecation Decision,High,Architecture Authority,"Books II-IV and IX; Book III architecture, engineering-policy, exception, and review controls",05,Automated completeness/integrity checks plus human authority review
ARC-05-007,Require independent review,"A consequential technical change MUST receive independent architecture and assurance review appropriate to affected authority, trust, privacy, safety, state, and Reality Boundary.",consequential changes,Architecture Authority,"workflow gate, register validation, and independent review",Independent Review Record,Critical,none,"Books II-IV and IX; Book III architecture, engineering-policy, exception, and review controls",05,Automated completeness/integrity checks plus human authority review
ARC-05-008,Propagate technical decisions,"Approved technical decisions MUST update affected Books III/IV/IX artifacts, traceability, certification scope, implementation gates, and operator guidance without changing higher-order sources.",approved changes,Decision Recorder,"workflow gate, register validation, and independent review",Propagation Manifest,High,none,"Books II-IV and IX; Book III architecture, engineering-policy, exception, and review controls",05,Automated completeness/integrity checks plus human authority review
TRT-06-001,Identify new capability classes,"A proposal MUST determine whether it creates a new capability class rather than merely a new provider, adapter, version, or implementation.",capability proposals,Capability Steward,"workflow gate, register validation, and independent review",Capability Classification Record,Critical,Owner,"Book I Decisions 48-50; Book II Trust/Firewall/Treaty architecture; Books IV, VIII, IX",06,Automated completeness/integrity checks plus human authority review
TRT-06-002,Reserve capability-class approval,"A new capability class MUST NOT activate without explicit Owner approval supported by risk, authority, verification, containment, reversibility, and retirement evidence.",new capability classes,Owner,"workflow gate, register validation, and independent review",Owner Approval Record,Critical,Owner,"Book I Decisions 48-50; Book II Trust/Firewall/Treaty architecture; Books IV, VIII, IX",06,Automated completeness/integrity checks plus human authority review
TRT-06-003,Qualify providers separately,"Provider qualification, procurement, trust, certification, credentials, or availability MUST NOT substitute for capability-class approval or action Authority.",providers,Capability Steward,"workflow gate, register validation, and independent review",Separation Test,Critical,none,"Book I Decisions 48-50; Book II Trust/Firewall/Treaty architecture; Books IV, VIII, IX",06,Automated completeness/integrity checks plus human authority review
TRT-06-004,Require Treaty approval,"Each Treaty and material renewal or scope change MUST receive explicit Owner approval after identity, purpose, capability, data, privacy, security, duration, revocation, audit, and Firewall review.",Treaties,Treaty Steward,"workflow gate, register validation, and independent review",Treaty Decision Record,Critical,Owner,"Book I Decisions 48-50; Book II Trust/Firewall/Treaty architecture; Books IV, VIII, IX",06,Automated completeness/integrity checks plus human authority review
TRT-06-005,Preserve sovereignty,"A Treaty MUST NOT merge constitutional identity, transfer Owner authority, bypass the Constitutional Firewall, or make trust equivalent to permission.",Treaties,Constitutional Steward,"workflow gate, register validation, and independent review",Sovereignty Review,Critical,none,"Book I Decisions 48-50; Book II Trust/Firewall/Treaty architecture; Books IV, VIII, IX",06,Automated completeness/integrity checks plus human authority review
TRT-06-006,Separate Treaty roles,"Treaty proposer, trust assessor, privacy/security reviewers, Owner approver, Firewall operator, and evidence custodian MUST be distinct or use documented compensating separation.",Treaties,Treaty Steward,"workflow gate, register validation, and independent review",Treaty RACI,High,Owner,"Book I Decisions 48-50; Book II Trust/Firewall/Treaty architecture; Books IV, VIII, IX",06,Automated completeness/integrity checks plus human authority review
TRT-06-007,Govern suspension and revocation,"Treaty suspension or revocation MUST define trigger, authority, effective time, propagation, in-flight handling, data quarantine, notification, evidence, appeal if permitted, and reinstatement.",active Treaties,Treaty Steward,"workflow gate, register validation, and independent review",Treaty Lifecycle Record,Critical,Owner where scope changes,"Book I Decisions 48-50; Book II Trust/Firewall/Treaty architecture; Books IV, VIII, IX",06,Automated completeness/integrity checks plus human authority review
TRT-06-008,Review external assurance,"External attestations MUST be scoped, dated, independently evaluated, and unable to replace HAL verification, Owner approval, or Firewall enforcement.",external assurance,Trust Assessor,"workflow gate, register validation, and independent review",Reliance Assessment,High,Treaty Steward,"Book I Decisions 48-50; Book II Trust/Firewall/Treaty architecture; Books IV, VIII, IX",06,Automated completeness/integrity checks plus human authority review
RSK-07-001,Use a complete exception record,"Every exception MUST name the control, justification, scope, risk, compensating controls, authority, effective/expiry/review dates, evidence, revocation conditions, and affected certifications.",exceptions,Exception Sponsor,"workflow gate, register validation, and independent review",Exception Record,Critical,Control's designated authority,Book I Decisions 47-51 and 58; Book III exception model; Book VIII conditions and suspension,07,Automated completeness/integrity checks plus human authority review
RSK-07-002,Prohibit permanent silence,"Silent, undocumented, self-approved, automatically renewed, or permanent exceptions MUST NOT be permitted.",all exceptions,Governance Auditor,"workflow gate, register validation, and independent review",Exception Register Check,Critical,none,Book I Decisions 47-51 and 58; Book III exception model; Book VIII conditions and suspension,07,Automated completeness/integrity checks plus human authority review
RSK-07-003,Protect constitutional invariants,"No exception, waiver, deviation, risk acceptance, emergency act, or certificate condition MAY waive a constitutional invariant or expand Owner authority.",all departures,Constitutional Steward,"workflow gate, register validation, and independent review",Constitutional Boundary Review,Critical,none,Book I Decisions 47-51 and 58; Book III exception model; Book VIII conditions and suspension,07,Automated completeness/integrity checks plus human authority review
RSK-07-004,Route architecture deviations,Architecture deviations MUST follow Book III architecture governance and MUST NOT be disguised as engineering or operational exceptions.,architecture deviations,Architecture Authority,"workflow gate, register validation, and independent review",Deviation Record,Critical,Architecture Authority,Book I Decisions 47-51 and 58; Book III exception model; Book VIII conditions and suspension,07,Automated completeness/integrity checks plus human authority review
RSK-07-005,Require competent risk acceptance,"Risk acceptance MUST identify the risk owner with actual authority over the affected value, affected people, duration, worst case, evidence, alternatives, and residual risk.",risk acceptance,Risk Owner,"workflow gate, register validation, and independent review",Risk Acceptance Record,Critical,Risk Authority,Book I Decisions 47-51 and 58; Book III exception model; Book VIII conditions and suspension,07,Automated completeness/integrity checks plus human authority review
RSK-07-006,Fail closed at expiry,An expired exception MUST automatically remove the exceptional permission or restrict the affected operation unless a new approval is complete.,expiring exceptions,Control Owner,"workflow gate, register validation, and independent review",Expiry Enforcement Evidence,Critical,none,Book I Decisions 47-51 and 58; Book III exception model; Book VIII conditions and suspension,07,Automated completeness/integrity checks plus human authority review
RSK-07-007,Review cumulative risk,"Governance MUST evaluate interacting exceptions, repeated renewals, concentration by owner/component/vendor, and aggregate constitutional or operational risk.",exception portfolio,Risk Authority,"workflow gate, register validation, and independent review",Portfolio Risk Review,High,Governance Chair,Book I Decisions 47-51 and 58; Book III exception model; Book VIII conditions and suspension,07,Automated completeness/integrity checks plus human authority review
RSK-07-008,Sunset temporary governance,"Temporary bodies, emergency rules, pilot authorities, and transitional policies MUST have explicit sunset, closure evidence, record disposition, and renewal prohibition absent fresh review.",temporary governance,Appointing Authority,"workflow gate, register validation, and independent review",Sunset Record,High,Appointing Authority,Book I Decisions 47-51 and 58; Book III exception model; Book VIII conditions and suspension,07,Automated completeness/integrity checks plus human authority review
CER-08-001,Preserve verification/certification separation,"Verification evaluates claims; only the designated Certification Authority MAY issue a scoped, expiring Certification Decision.",all certifications,Certification Authority,"workflow gate, register validation, and independent review",Role-Separation Record,Critical,none,"Book I Decisions 40, 50, 58; Book II Chapter 35; Book VIII Chapters 1, 8-13",08,Automated completeness/integrity checks plus human authority review
CER-08-002,Register certification authorities,"Every Certification Authority MUST have defined scope, competence, appointment, independence, term, conflicts, delegation limits, removal, and appeal oversight.",certification roles,Assurance Governor,"workflow gate, register validation, and independent review",Certification Authority Register,Critical,Appointing Authority,"Book I Decisions 40, 50, 58; Book II Chapter 35; Book VIII Chapters 1, 8-13",08,Automated completeness/integrity checks plus human authority review
CER-08-003,Forbid certificate authority expansion,"A certificate MUST NOT create Authority, Permission, Owner approval, capability class, Treaty scope, or broader operational eligibility than its exact claims support.",all certificates,Certification Authority,"workflow gate, register validation, and independent review",Certification Boundary Review,Critical,none,"Book I Decisions 40, 50, 58; Book II Chapter 35; Book VIII Chapters 1, 8-13",08,Automated completeness/integrity checks plus human authority review
CER-08-004,Govern conditions,"Conditional certification MUST identify noncritical condition, compensating control, owner, evidence, review, expiry, and automatic consequence; critical failed claims cannot be conditioned away.",conditional certificates,Assurance Governor,"workflow gate, register validation, and independent review",Condition Record,Critical,Assurance Governor,"Book I Decisions 40, 50, 58; Book II Chapter 35; Book VIII Chapters 1, 8-13",08,Automated completeness/integrity checks plus human authority review
CER-08-005,Suspend on lost basis,"Critical evidence loss, incident impact, drift, failed control, expired condition, or uncertain applicability MUST trigger prompt scoped suspension and dependent impact review.",active certificates,Certification Authority,"workflow gate, register validation, and independent review",Suspension Record,Critical,none,"Book I Decisions 40, 50, 58; Book II Chapter 35; Book VIII Chapters 1, 8-13",08,Automated completeness/integrity checks plus human authority review
CER-08-006,Revoke invalid certification,"Fraud, evidence tampering, fundamental falsification, authority overreach, or uncorrected critical breach MUST trigger revocation and propagation.",active certificates,Certification Authority,"workflow gate, register validation, and independent review",Revocation Decision,Critical,Assurance Governor,"Book I Decisions 40, 50, 58; Book II Chapter 35; Book VIII Chapters 1, 8-13",08,Automated completeness/integrity checks plus human authority review
CER-08-007,Provide bounded appeal,"An affected party MAY appeal procedural error, evidence interpretation, conflict, proportionality, or new evidence to an authority independent of the original decision; appeal MUST NOT stay critical restrictions by default.",certification appeals,Appeal Authority,"workflow gate, register validation, and independent review",Appeal Record,High,Appeal Authority,"Book I Decisions 40, 50, 58; Book II Chapter 35; Book VIII Chapters 1, 8-13",08,Automated completeness/integrity checks plus human authority review
CER-08-008,Reinstate with fresh evidence,"Reinstatement MUST address trigger, root cause, corrective action, affected claims, regression scope, independent review, propagation, and a new validity period.",suspended targets,Certification Authority,"workflow gate, register validation, and independent review",Reinstatement Decision,Critical,none,"Book I Decisions 40, 50, 58; Book II Chapter 35; Book VIII Chapters 1, 8-13",08,Automated completeness/integrity checks plus human authority review
OPS-09-001,Preserve operational command,"Governance MUST define policy and accountability without usurping the incident commander, recovery coordinator, security responder, or operator acting within authorized Book V/VI scope.",operations and incidents,Governance Chair,"workflow gate, register validation, and independent review",Authority Boundary Review,Critical,none,"Book I Decisions 35, 38-43, 47-51; Books II-IV; Book V operational authority; Book VI security, privacy, and trust authority",09,Automated completeness/integrity checks plus human authority review
OPS-09-002,Classify emergencies,"Emergency authority MUST require a declared event, bounded objective, authorized role, least necessary power, evidence, start/expiry, termination, and retrospective review.",emergencies,Emergency Authority,"workflow gate, register validation, and independent review",Emergency Declaration,Critical,none,"Book I Decisions 35, 38-43, 47-51; Books II-IV; Book V operational authority; Book VI security, privacy, and trust authority",09,Automated completeness/integrity checks plus human authority review
OPS-09-003,Forbid emergency constitutional change,"Urgency MUST NOT authorize constitutional amendment, permanent authority expansion, new capability-class activation, Treaty approval, or waiver of invariants outside the required process.",emergencies,Constitutional Steward,"workflow gate, register validation, and independent review",Emergency Boundary Check,Critical,none,"Book I Decisions 35, 38-43, 47-51; Books II-IV; Book V operational authority; Book VI security, privacy, and trust authority",09,Automated completeness/integrity checks plus human authority review
OPS-09-004,Use break-glass controls,"Break-glass access MUST be identity-bound, purpose-limited, least-privilege, time-limited, dual-controlled where feasible, monitored, automatically revoked, and retrospectively reviewed.",break-glass,Security Authority,"workflow gate, register validation, and independent review",Break-Glass Record,Critical,Security Authority,"Book I Decisions 35, 38-43, 47-51; Books II-IV; Book V operational authority; Book VI security, privacy, and trust authority",09,Automated completeness/integrity checks plus human authority review
OPS-09-005,Protect incident evidence,"Incident action MUST preserve evidence, privacy, chain of custody, legal holds, affected-party rights, and independent review while limiting disclosure to need.",incidents,Incident Commander,"workflow gate, register validation, and independent review",Incident Evidence Manifest,Critical,none,"Book I Decisions 35, 38-43, 47-51; Books II-IV; Book V operational authority; Book VI security, privacy, and trust authority",09,Automated completeness/integrity checks plus human authority review
OPS-09-006,Govern privacy impact,"Governance decisions affecting personal or sensitive data MUST identify purpose, authority, minimization, inference, disclosure, retention, deletion, people affected, and remedy.",data decisions,Privacy Authority,"workflow gate, register validation, and independent review",Privacy Decision Record,Critical,Privacy Authority,"Book I Decisions 35, 38-43, 47-51; Books II-IV; Book V operational authority; Book VI security, privacy, and trust authority",09,Automated completeness/integrity checks plus human authority review
OPS-09-007,Coordinate cross-domain incidents,"External-domain incidents MUST use Treaty and Firewall authority, preserve sovereignty, restrict exchange, notify authorized parties, and record suspension/revocation decisions.",cross-domain incidents,Treaty Steward,"workflow gate, register validation, and independent review",Cross-Domain Incident Record,Critical,Owner where Treaty scope changes,"Book I Decisions 35, 38-43, 47-51; Books II-IV; Book V operational authority; Book VI security, privacy, and trust authority",09,Automated completeness/integrity checks plus human authority review
OPS-09-008,Require retrospective review,"Every material incident or emergency exercise of exceptional authority MUST receive independent, blame-aware review of decisions, evidence, harms, recovery, authority, controls, and corrective action.",material incidents,Governance Auditor,"workflow gate, register validation, and independent review",Post-Incident Governance Review,High,Governance Chair,"Book I Decisions 35, 38-43, 47-51; Books II-IV; Book V operational authority; Book VI security, privacy, and trust authority",09,Automated completeness/integrity checks plus human authority review
EVD-10-001,Maintain an append-only register,"Every consequential proposal, decision, condition, exception, appeal, suspension, revocation, and supersession MUST enter a durable attributable governance register.",consequential governance,Governance Recorder,"workflow gate, register validation, and independent review",Governance Register,Critical,none,"Book I Articles VI, XI, XII and Decision 40; Book II evidence architecture; Books III, VIII, IX",10,Automated completeness/integrity checks plus human authority review
EVD-10-002,Bind evidence and decision,"Decision records MUST reference immutable or content-addressed evidence, source versions, authority attestations, deliberation, dissent, and execution receipts.",consequential decisions,Evidence Custodian,"workflow gate, register validation, and independent review",Evidence Manifest,Critical,none,"Book I Articles VI, XI, XII and Decision 40; Book II evidence architecture; Books III, VIII, IX",10,Automated completeness/integrity checks plus human authority review
EVD-10-003,Minimize governance data,"Governance evidence MUST retain the least personal, secret, or sensitive content sufficient for accountability and MUST use references, redaction, segmentation, and access decisions.",all records,Privacy Authority,"workflow gate, register validation, and independent review",Governance Data Inventory,Critical,none,"Book I Articles VI, XI, XII and Decision 40; Book II evidence architecture; Books III, VIII, IX",10,Automated completeness/integrity checks plus human authority review
EVD-10-004,Classify publication,"Each record MUST be classified public, canon-internal, restricted, confidential, or sealed with rationale, access authority, review date, and release condition.",all records,Governance Recorder,"workflow gate, register validation, and independent review",Publication Classification,High,Publication Authority,"Book I Articles VI, XI, XII and Decision 40; Book II evidence architecture; Books III, VIII, IX",10,Automated completeness/integrity checks plus human authority review
