control_id,chapter,title,requirement,responsible_role,severity,enforcement,evidence,exception_authority,book_ix_binding,book_viii_binding
OPS-CFG-03-03,03,Key and certificate operations,"Key and certificate operations MUST use dual control, approved algorithms, protected custody, rotation overlap, revocation, and verification.",Platform Operator,High,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-CFG-03-04,03,Configuration drift,"Configuration drift MUST trigger detection, classification, reconciliation, and certification-impact review before normalization.",Platform Operator,High,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-DEP-04-01,04,A release,"A release MUST be signed, provenance-verifiable, vulnerability-disposed, contract-compatible, migration-ready, rollback-capable, and currently certified.",Release Manager,High,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-DEP-04-02,04,Deployment,"Deployment MUST use a declared change window, risk class, blast-radius bound, observation gates, stop conditions, and accountable commander.",Release Manager,High,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-DEP-04-03,04,Traffic progression,"Traffic progression MUST follow the approved verification rung and MUST halt or regress when success, harm, authority, evidence, or health criteria fail.",Release Manager,Critical,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-DEP-04-04,04,Deployment success,"Deployment success MUST require post-release validation of outcomes, invariants, authority paths, trust boundaries, privacy duties, and recovery readiness.",Release Manager,Critical,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-CLU-05-01,05,Placement,"Placement MUST respect identity, trust zone, capability, data classification, resource, locality, resilience, and certification constraints.",Platform Operator,High,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-CLU-05-02,05,Operators,Operators MUST NOT bypass the Event and Messaging Platform or State and Persistence Platform to mutate another component's authoritative state.,Platform Operator,High,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-CLU-05-03,05,Messaging operations,"Messaging operations MUST preserve Book IX contract, ordering, idempotency, deadline, retry, provenance, and dead-letter semantics.",Platform Operator,High,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-CLU-05-04,05,Cluster repair,"Cluster repair MUST prevent split-brain identity, authority, state ownership, duplicate Reality Boundary effects, and unverified member admission.",Platform Operator,Critical,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-CAP-06-01,06,Every service,"Every service MUST have declared capacity, latency, concurrency, queue, storage, and evidence-retention budgets tied to representative workloads.",Capacity Manager,High,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-CAP-06-02,06,Scaling,"Scaling MUST preserve single-owner state, authority checks, ordering scope, rate limits, privacy constraints, and certified topology assumptions.",Capacity Manager,Critical,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-CAP-06-03,06,Overload controls,"Overload controls MUST apply bounded admission, backpressure, prioritization, deferral, degradation, or rejection without silent loss.",Capacity Manager,High,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-CAP-06-04,06,"Capacity exhaustion affecting protected decisions, evidence, authority, ","Capacity exhaustion affecting protected decisions, evidence, authority, or recovery MUST be treated as an incident and may suspend operation.",Capacity Manager,Critical,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-OBS-07-01,07,Health,"Health MUST distinguish process liveness, functional readiness, dependency readiness, authority readiness, evidence readiness, and constitutional readiness.",Observability Lead,Critical,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-OBS-07-02,07,Alerts,"Alerts MUST name condition, severity, owner, evidence query, immediate safety action, escalation clock, and resolution signal.",Observability Lead,High,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-OBS-07-03,07,Telemetry,Telemetry MUST preserve correlation and causation while minimizing and redacting sensitive content; unrestricted payload logging is prohibited.,Observability Lead,High,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-OBS-07-04,07,"Missing, stale, contradictory, or integrity-failed telemetry","Missing, stale, contradictory, or integrity-failed telemetry MUST be represented as unknown and MUST NOT be converted to healthy.",Observability Lead,High,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-INC-08-01,08,Incidents,"Incidents MUST be classified by human harm, constitutional impact, authority loss, privacy/security exposure, trust-domain impact, evidence loss, and service effect.",Incident Commander,Critical,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-INC-08-02,08,The Incident Commander,"The Incident Commander MUST establish scope, authority, priorities, communication cadence, evidence custody, and stop conditions at declaration.",Incident Commander,Critical,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-INC-08-03,08,Containment,"Containment MUST prioritize people, constitutional invariants, authority boundaries, evidence, and reversibility over availability or schedule.",Incident Commander,Critical,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-INC-08-04,08,Recovery,"Recovery MUST not restore reliance until containment, state reconciliation, integrity, targeted verification, and certification consequences are resolved.",Incident Commander,High,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-BAK-09-01,09,Backup scope,"Backup scope MUST cover authoritative state, identity continuity, configuration, policies, evidence, keys by protected reference, schemas, and recovery metadata.",Recovery Operator,Critical,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-BAK-09-02,09,Backups,"Backups MUST be encrypted, integrity-protected, access-controlled, geographically appropriate, retention-governed, and regularly restorable.",Recovery Operator,High,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-BAK-09-03,09,Restore,"Restore MUST use an isolated target, verified chain of custody, compatible software/schema, authoritative ownership, and reconciliation before promotion.",Recovery Operator,High,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-BAK-09-04,09,Restoration success,"Restoration success MUST prove identity continuity, state integrity, authority validity, privacy obligations, contract compatibility, and recovery objectives.",Recovery Operator,Critical,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-DR-10-01,10,Disaster declarations,"Disaster declarations MUST identify affected identities, state domains, trust boundaries, certifications, Treaties, and Reality Boundary actions.",Recovery Coordinator,Critical,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-DR-10-02,10,Failover,Failover MUST preserve one authoritative identity and mutation owner per state domain and MUST fence superseded writers before admission.,Recovery Coordinator,High,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-DR-10-03,10,Continuity modes,"Continuity modes MUST state unavailable capabilities, reduced assurances, time bounds, human notification, and prohibited protected actions.",Recovery Coordinator,High,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-DR-10-04,10,Return to primary operation,"Return to primary operation MUST reconcile state and effects, close gaps, verify invariants, revoke temporary access, and obtain recovery admission.",Recovery Coordinator,High,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-MNT-11-01,11,Maintenance,"Maintenance MUST declare affected components, contracts, state, certificates, dependencies, observation windows, and rollback or forward-recovery plan.",Service Owner,High,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-MNT-11-02,11,Patches,Patches MUST pass risk-proportionate verification and current security disposition before admission to the declared live-effect environment and approved Reality Boundary stage.,Service Owner,Critical,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-MNT-11-03,11,Deprecation,"Deprecation MUST preserve supported coexistence, consumer notice, migration evidence, removal criteria, and rollback until the approved end date.",Service Owner,High,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-MNT-11-04,11,Removal,"Removal MUST verify no authorized consumer, retained evidence, recovery path, Treaty, certificate, or state obligation depends on the target.",Service Owner,Critical,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-MIG-12-01,12,Migration,"Migration MUST identify the sole mutation owner, source and target schemas, invariants, transformation, checkpoints, reconciliation, and abort threshold.",Migration Lead,High,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-MIG-12-02,12,Dual writes are prohibited unless an approved consistency protocol names,"Dual writes are prohibited unless an approved consistency protocol names the authority, ordering, conflict, replay, and recovery semantics.",Migration Lead,Critical,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-MIG-12-03,12,Migration execution,"Migration execution MUST be idempotent or checkpointed and MUST preserve provenance, classification, retention, and evidence linkage.",Migration Lead,High,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-MIG-12-04,12,Cutover,"Cutover MUST require validated counts and invariants, consumer compatibility, quiescence or ordered handoff, and explicit state-owner acceptance.",Migration Lead,High,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-TRT-13-01,13,"No external exchange may begin without authenticated domain identity, an","No external exchange may begin without authenticated domain identity, an active applicable Treaty, current authority, and Constitutional Firewall admission.",Trust Operator,Critical,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-TRT-13-02,13,Treaty activation,"Treaty activation MUST verify exact approved text, parties, purpose, capability, data, duration, audit, revocation, and Firewall policy binding.",Trust Operator,Critical,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-TRT-13-03,13,"Treaty suspension, expiry, revocation, drift, or external compromise","Treaty suspension, expiry, revocation, drift, or external compromise MUST stop new exchange and safely contain or reconcile in-flight work.",Trust Operator,Critical,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-TRT-13-04,13,"Firewall bypass, direct external credentials, and ungoverned side channe","Firewall bypass, direct external credentials, and ungoverned side channels are prohibited even during incidents or degraded operation.",Trust Operator,High,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-DEG-14-01,14,Every degraded mode,"Every degraded mode MUST be predefined with entry triggers, available and prohibited capabilities, authority ceiling, evidence, time bound, and exit criteria.",Runtime Operator,Critical,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-DEG-14-02,14,Degradation,"Degradation MUST fail closed for uncertain authority, Treaty, privacy, integrity, or Reality Boundary state unless a higher rule explicitly requires a safer human-protective action.",Runtime Operator,Critical,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-DEG-14-03,14,Users and operators,Users and operators MUST receive accurate limitation and uncertainty disclosure without claiming unavailable capability or evidence.,Runtime Operator,High,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-DEG-14-04,14,Restoration,"Restoration MUST verify repaired dependencies, reconcile queued and in-flight work, clear temporary controls, and re-establish required certification.",Runtime Operator,High,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-EMG-15-01,15,Emergency change authority,"Emergency change authority MUST be narrow, attributable, time-bounded, independently reviewed, and unable to waive constitutional invariants.",Incident Commander,Critical,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-EMG-15-02,15,Emergency changes,"Emergency changes MUST preserve evidence, predefine containment and rollback, minimize scope, and receive retrospective verification before continued use.",Incident Commander,High,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-EMG-15-03,15,Constitutional shutdown,"Constitutional shutdown MUST stop protected action admission, external exchange, hazardous mutation, and new delegation while preserving harm-bounded human communication and evidence.",Incident Commander,Critical,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-EMG-15-04,15,Restart after constitutional shutdown,"Restart after constitutional shutdown MUST require root-cause containment, integrity and identity Verification results, Book VIII reverification, and explicit recovery admission.",Incident Commander,Critical,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-PIR-16-01,16,Every material incident,"Every material incident MUST receive a blameless evidence-based review covering timeline, authority, decisions, contributing conditions, controls, harms, and outcomes.",Problem Manager,Critical,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-PIR-16-02,16,Corrective actions,"Corrective actions MUST have owners, risk, due dates, verification methods, evidence, and closure authority; administrative closure without an admitted Evidence Object and accepted Verification result is prohibited.",Problem Manager,Critical,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-PIR-16-03,16,Incident impact on claims and certificates,Incident impact on claims and certificates MUST be assessed immediately; affected reliance MUST remain suspended until targeted reverification passes.,Problem Manager,High,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
OPS-PIR-16-04,16,Lessons,"Lessons MUST update controls, runbooks, alerts, tests, capacity models, training, and risk registers without erasing negative evidence.",Problem Manager,High,"procedure gate, policy check, monitoring, and independent evidence review","signed operation record, correlated telemetry, decision log, verification result, and exception record where applicable",Operations Manager with Security and Assurance concurrence; higher-order requirements are not waivable,Applicable IX-C contract identifiers and Book IX envelope/error/delivery profiles,Current scoped certification and evidence manifest
