control_id,title,requirement,applicability,responsible_role,enforcement,evidence,severity,exception_authority,source,chapter,automation
CLM-02-003,Expose defeaters,"Every Assurance Case MUST list known rebuttals, undercutters, assumptions, missing evidence, and conditions that would reduce confidence.",all assurance cases,Assurance Case Author,argument review,defeater register,High,Certification Authority,"Book I Decisions 26, 34, 40, 43, 55-58; Book II Chapters 17, 18, 35; Book III Chapters 6, 8, 9; Book IV CMP-15, CMP-18",02,Human review with recorded evidence
CLM-02-004,Prevent evidence laundering,"A repeated assertion, model output, metric dashboard, approval, or prior certificate MUST NOT be treated as independent evidence merely because it appears in multiple artifacts.",all evaluations,Independent Reviewer,provenance graph analysis,independence assessment,Critical,none,"Book I Decisions 26, 34, 40, 43, 55-58; Book II Chapters 17, 18, 35; Book III Chapters 6, 8, 9; Book IV CMP-15, CMP-18",02,Human review with recorded evidence
CLM-02-005,Classify by consequence,"Targets MUST be classified R0 Informational, R1 Limited, R2 Significant, R3 Critical, or R4 Constitutional according to authority, irreversibility, trust-boundary, privacy, safety, continuity, and blast-radius consequences.",all targets,Risk Classifier,risk-model gate,Risk Classification Record,Critical,Assurance Governor,"Book I Decisions 26, 34, 40, 43, 55-58; Book II Chapters 17, 18, 35; Book III Chapters 6, 8, 9; Book IV CMP-15, CMP-18",02,Automated + human review
CLM-02-006,Choose the highest applicable class,"When dimensions disagree, the highest material consequence class MUST govern unless a documented independent review proves the dimension inapplicable.",mixed-risk targets,Risk Classifier,classification review,risk rationale,High,Assurance Governor,"Book I Decisions 26, 34, 40, 43, 55-58; Book II Chapters 17, 18, 35; Book III Chapters 6, 8, 9; Book IV CMP-15, CMP-18",02,Human review with recorded evidence
CLM-02-007,Maintain claim coverage,"Every source requirement, invariant, authority path, trust boundary, protected state transition, failure mode, recovery path, and privacy duty in scope MUST map to at least one claim and method.",R2-R4 targets,Verification Lead,traceability coverage check,claim-to-source matrix,Critical,none,"Book I Decisions 26, 34, 40, 43, 55-58; Book II Chapters 17, 18, 35; Book III Chapters 6, 8, 9; Book IV CMP-15, CMP-18",02,Automated + human review
CLM-02-008,Reject unsupported conclusions,"A claim with missing, stale, contradictory, inadmissible, or insufficient evidence MUST be Falsified or Inconclusive; it MUST NOT be rounded up to Verified.",all claims,Verification Lead,decision-rule automation,Verification Result,Critical,none,"Book I Decisions 26, 34, 40, 43, 55-58; Book II Chapters 17, 18, 35; Book III Chapters 6, 8, 9; Book IV CMP-15, CMP-18",02,Human review with recorded evidence
PLN-03-001,Approve plans before execution,"R2-R4 verification MUST use an approved plan defining claims, methods, environments, datasets, oracles, budgets, stopping rules, evidence, and responsible roles.",R2-R4,Verification Lead,plan completeness gate,approved Verification Plan,High,Certification Authority,"Book I Decisions 40, 43, 55-58; Book II Chapter 17; Book III Chapters 6, 8; Book IV CMP-15, CMP-16, CMP-18",03,Automated + human review
PLN-03-002,Budget by risk,"Verification budgets MUST cover execution, independent review, reproduction, adversarial work, failure injection, recovery, and evidence retention in proportion to risk.",all targets,Verification Lead,budget review,Verification Budget,High,Assurance Governor,"Book I Decisions 40, 43, 55-58; Book II Chapter 17; Book III Chapters 6, 8; Book IV CMP-15, CMP-16, CMP-18",03,Human review with recorded evidence
PLN-03-003,Forbid budget exhaustion as success,"Exhausting time, compute, test cases, or funds MUST NOT convert an unverified claim into a pass; the result MUST be Inconclusive or scope-reduced.",all targets,Certification Authority,stopping-rule check,budget exhaustion record,Critical,none,"Book I Decisions 40, 43, 55-58; Book II Chapter 17; Book III Chapters 6, 8; Book IV CMP-15, CMP-16, CMP-18",03,Automated + human review
PLN-03-004,Calibrate confidence,"Confidence MUST be reported as a bounded, explained assessment tied to evidence quality, method power, independence, recency, coverage, and unresolved defeaters.",all results,Method Owner,calibration review,confidence rationale,High,Certification Authority,"Book I Decisions 40, 43, 55-58; Book II Chapter 17; Book III Chapters 6, 8; Book IV CMP-15, CMP-16, CMP-18",03,Human review with recorded evidence
PLN-03-005,Score model fidelity,"Simulation and Digital Twin evidence MUST report behavioral, state, temporal, environmental, dependency, and failure-response fidelity plus known divergence.",simulation evidence,Model Owner,fidelity rubric,Fidelity Assessment,Critical,Certification Authority,"Book I Decisions 40, 43, 55-58; Book II Chapter 17; Book III Chapters 6, 8; Book IV CMP-15, CMP-16, CMP-18",03,Human review with recorded evidence
PLN-03-006,Reproduce critical results,Every R3-R4 positive conclusion MUST be reproduced from retained inputs by an independent runner or environment before certification.,R3-R4,Independent Reviewer,reproduction pipeline,Reproduction Record,Critical,none,"Book I Decisions 40, 43, 55-58; Book II Chapter 17; Book III Chapters 6, 8; Book IV CMP-15, CMP-16, CMP-18",03,Human review with recorded evidence
PLN-03-007,Pin the execution context,"Verification MUST record code, build, configuration, policy, model, data, schema, dependency, tool, environment, and clock-source identities.",all runs,Environment Custodian,manifest comparison,Execution Manifest,High,Certification Authority,"Book I Decisions 40, 43, 55-58; Book II Chapter 17; Book III Chapters 6, 8; Book IV CMP-15, CMP-16, CMP-18",03,Human review with recorded evidence
PLN-03-008,Control nondeterminism,"Nondeterministic methods MUST declare seeds where available, repetition strategy, variance bounds, statistical treatment, and flake disposition.",nondeterministic methods,Method Owner,run-quality check,variance analysis,High,Certification Authority,"Book I Decisions 40, 43, 55-58; Book II Chapter 17; Book III Chapters 6, 8; Book IV CMP-15, CMP-16, CMP-18",03,Automated + human review
LAD-04-001,Use the canonical rung order,"A material Reality Boundary change MUST progress through Static Validation, Simulation, Digital Twin, Shadow Execution, Canary Operation, Controlled Reality, and Full Adoption unless a rung is proven inapplicable.",R2-R4 reality changes,Verification Lead,promotion gate,Ladder Record,Critical,Reality Boundary Authority,"Book I Decisions 38-43, 47-50, 56, 58; Book II Chapters 16, 17, 35; Book III Chapters 3, 6, 7; Book IV CMP-14-16, CMP-25-26",04,Automated + human review
LAD-04-002,Authorize every promotion,"Advancement to each rung MUST have an explicit decision naming evidence, residual risk, containment, rollback, observation window, and authorized scope.",each promotion,Reality Boundary Authority,promotion workflow,Promotion Decision,Critical,none,"Book I Decisions 38-43, 47-50, 56, 58; Book II Chapters 16, 17, 35; Book III Chapters 3, 6, 7; Book IV CMP-14-16, CMP-25-26",04,Human review with recorded evidence
LAD-04-003,Keep non-reality rungs isolated,"Simulation, Digital Twin, and Shadow Execution MUST be technically incapable of external effect without Permission or mutation of authoritative live-effect state.",simulation/twin/shadow,Environment Custodian,isolation test,Isolation Attestation,Critical,none,"Book I Decisions 38-43, 47-50, 56, 58; Book II Chapters 16, 17, 35; Book III Chapters 3, 6, 7; Book IV CMP-14-16, CMP-25-26",04,Human review with recorded evidence
LAD-04-004,Use live-effect-environment inputs with privacy containment in shadow,"Shadow execution MUST suppress effects, minimize copied data, prevent feedback into authoritative decisions, and record output divergence without disclosing unnecessary data.",shadow runs,Privacy Reviewer,shadow privacy-and-containment gate,Shadow Comparison Report,Critical,none,"Book I Decisions 38-43, 47-50, 56, 58; Book II Chapters 16, 17, 35; Book III Chapters 3, 6, 7; Book IV CMP-14-16, CMP-25-26",04,Automated + human review
LAD-04-005,Bound canaries,"Canary operation MUST define population, authority envelope, exposure, time, automated abort criteria, manual stop authority, rollback, and outcome measures.",canary runs,Release Authority,canary controller,Canary Record,Critical,none,"Book I Decisions 38-43, 47-50, 56, 58; Book II Chapters 16, 17, 35; Book III Chapters 3, 6, 7; Book IV CMP-14-16, CMP-25-26",04,Human review with recorded evidence
LAD-04-006,Constrain controlled reality,"Controlled Reality MUST use explicit participants, authorized effects, bounded resources, enhanced observation, recoverability, and a predeclared termination condition.",controlled reality,Reality Boundary Authority,admission review,Controlled-Reality Permit,Critical,none,"Book I Decisions 38-43, 47-50, 56, 58; Book II Chapters 16, 17, 35; Book III Chapters 3, 6, 7; Book IV CMP-14-16, CMP-25-26",04,Human review with recorded evidence
LAD-04-007,Require adoption evidence,"Full Adoption MUST require completed observation windows, satisfied success and harm criteria, an accepted recovery Verification result, no unresolved critical defeater, and a current certification.",full adoption,Certification Authority,adoption gate,Full-Adoption Decision,Critical,none,"Book I Decisions 38-43, 47-50, 56, 58; Book II Chapters 16, 17, 35; Book III Chapters 3, 6, 7; Book IV CMP-14-16, CMP-25-26",04,Automated + human review
LAD-04-008,Regress when evidence weakens,"A fidelity loss, drift, incident, failed control, changed dependency, or invalidated evidence MUST move the target to the lowest rung still supported.",all adopted targets,Target Owner,continuous trigger,Regression Decision,Critical,none,"Book I Decisions 38-43, 47-50, 56, 58; Book II Chapters 16, 17, 35; Book III Chapters 3, 6, 7; Book IV CMP-14-16, CMP-25-26",04,Human review with recorded evidence
MTH-05-001,Validate static artifacts,"Static validation MUST cover source traceability, schemas, types, policies, configuration, dependencies, signatures, provenance, forbidden constructs, and invariant representations.",all builds,Test Engineer,CI gates,static validation bundle,High,Certification Authority,"Book I Decisions 40, 43, 56, 58; Book II Chapters 17, 27, 35; Book III Chapters 6-8; Book IV CMP-15, CMP-16, CMP-26",05,Automated + human review
MTH-05-002,Exercise behavior at boundaries,"Dynamic tests MUST cover valid, invalid, adversarial, stale, duplicated, reordered, unauthorized, resource-exhausted, and dependency-failure inputs at every material boundary.",R2-R4,Test Engineer,test harness,behavioral result set,Critical,none,"Book I Decisions 40, 43, 56, 58; Book II Chapters 17, 27, 35; Book III Chapters 6-8; Book IV CMP-15, CMP-16, CMP-26",05,Human review with recorded evidence
MTH-05-003,Use counterfactuals,"Consequential decisions MUST be tested against plausible alternative inputs, policies, evidence, authority contexts, and world states to reveal brittle conclusions and hidden assumptions.",consequential decisions,Method Owner,scenario review,Counterfactual Report,High,Certification Authority,"Book I Decisions 40, 43, 56, 58; Book II Chapters 17, 27, 35; Book III Chapters 6-8; Book IV CMP-15, CMP-16, CMP-26",05,Human review with recorded evidence
MTH-05-004,Inject critical failures,Every critical failure mode MUST have an exercised failure-injection scenario or a documented formal proof of technical impossibility.,critical failure modes,Test Engineer,fault campaign gate,Failure-Injection Record,Critical,none,"Book I Decisions 40, 43, 56, 58; Book II Chapters 17, 27, 35; Book III Chapters 6-8; Book IV CMP-15, CMP-16, CMP-26",05,Automated + human review
MTH-05-005,"Prove recovery, not restart","Recovery verification MUST prove authoritative-state reconciliation, identity and authority freshness, evidence preservation, replay safety, containment exit, and restored invariants.",recovery paths,Recovery Assessor,recovery drill,Recovery Verification Record,Critical,none,"Book I Decisions 40, 43, 56, 58; Book II Chapters 17, 27, 35; Book III Chapters 6-8; Book IV CMP-15, CMP-16, CMP-26",05,Human review with recorded evidence
MTH-05-006,Test compromised components,"Security verification MUST assume providers, nodes, dependencies, credentials, or models can be compromised and demonstrate containment of their authority and effects.",R3-R4,Security Assessor,adversarial campaign,Compromise Containment Report,Critical,none,"Book I Decisions 40, 43, 56, 58; Book II Chapters 17, 27, 35; Book III Chapters 6-8; Book IV CMP-15, CMP-16, CMP-26",05,Human review with recorded evidence
MTH-05-007,Verify human usability,"Human-dependent controls MUST be tested with representative users for comprehension, accessibility, error recovery, coercion resistance, and unambiguous authority consequences.",human controls,Human Factors Reviewer,usability protocol,Human Verification Report,High,Certification Authority,"Book I Decisions 40, 43, 56, 58; Book II Chapters 17, 27, 35; Book III Chapters 6-8; Book IV CMP-15, CMP-16, CMP-26",05,Human review with recorded evidence
MTH-05-008,Retain negative results,"Failed, inconclusive, flaky, and contradictory results MUST be retained and linked to disposition; reruns MUST NOT overwrite unfavorable evidence.",all methods,Evidence Custodian,immutability check,complete run history,Critical,none,"Book I Decisions 40, 43, 56, 58; Book II Chapters 17, 27, 35; Book III Chapters 6-8; Book IV CMP-15, CMP-16, CMP-26",05,Automated + human review
DOM-06-001,Review constitutional invariants,"R3-R4 assurance MUST trace and test every applicable constitutional invariant, including identity unity, Owner authority, privacy, evidence, restraint, Reality Boundary, and recovery with declared hazards, containment, and admission criteria.",R3-R4,Constitutional Reviewer,invariant matrix,Constitutional Conformance Report,Critical,none,"Book I Decisions 1-7, 24-29, 38-43, 47-51, 56, 58; Book II Chapters 3-5, 18-21, 29, 35; Book III Chapters 5, 6, 8; Book IV CMP-01-03, CMP-17-21",06,Human review with recorded evidence
DOM-06-002,Verify architecture ownership,"Assurance MUST prove that each authoritative state has one mutation owner and that projections, replicas, caches, providers, and tools cannot bypass that owner.",stateful targets,Architecture Reviewer,ownership/path analysis,Architecture Conformance Report,Critical,none,"Book I Decisions 1-7, 24-29, 38-43, 47-51, 56, 58; Book II Chapters 3-5, 18-21, 29, 35; Book III Chapters 5, 6, 8; Book IV CMP-01-03, CMP-17-21",06,Human review with recorded evidence
DOM-06-003,Exercise every authority path,"Each protected action MUST be tested for valid, absent, expired, revoked, narrowed, replayed, cross-principal, cross-domain, and conflicting Authority contexts.",protected actions,Authority Assessor,authority matrix,Authority-Path Report,Critical,none,"Book I Decisions 1-7, 24-29, 38-43, 47-51, 56, 58; Book II Chapters 3-5, 18-21, 29, 35; Book III Chapters 5, 6, 8; Book IV CMP-01-03, CMP-17-21",06,Human review with recorded evidence
DOM-06-004,Distinguish protection goals,Security cases MUST separately demonstrate controls protecting HAL from compromise and controls preventing HAL from exceeding Authority.,security scope,Security Assessor,two-goal case review,Security Assurance Case,Critical,none,"Book I Decisions 1-7, 24-29, 38-43, 47-51, 56, 58; Book II Chapters 3-5, 18-21, 29, 35; Book III Chapters 5, 6, 8; Book IV CMP-01-03, CMP-17-21",06,Human review with recorded evidence
DOM-06-005,Verify privacy across lifecycle,"Privacy assurance MUST cover collection, inference, purpose, minimization, disclosure, access, retention, deletion, evidence, backups, and external-domain exchange.",personal or sensitive data,Privacy Assessor,data-lifecycle tests,Privacy Assurance Case,Critical,none,"Book I Decisions 1-7, 24-29, 38-43, 47-51, 56, 58; Book II Chapters 3-5, 18-21, 29, 35; Book III Chapters 5, 6, 8; Book IV CMP-01-03, CMP-17-21",06,Human review with recorded evidence
DOM-06-006,Verify failure choices against declared hazards,"Every fail-closed or fail-safe choice MUST identify the hazard, protected value, affected people, fallback behavior, reversibility, containment, evidence preservation, verification method, residual risk, and recovery admission.",critical failures,Safety Assessor,hazard review,Safety Case,Critical,Certification Authority,"Book I Decisions 1-7, 24-29, 38-43, 47-51, 56, 58; Book II Chapters 3-5, 18-21, 29, 35; Book III Chapters 5, 6, 8; Book IV CMP-01-03, CMP-17-21",06,Human review with recorded evidence
DOM-06-007,Keep trust separate from permission,"Tests MUST demonstrate that Trust Assessment, identity, credentials, capability, confidence, or certificate possession cannot independently create Permission or Authority.",trust decisions,Trust Assessor,negative Authority and Permission tests,Trust-Boundary Report,Critical,none,"Book I Decisions 1-7, 24-29, 38-43, 47-51, 56, 58; Book II Chapters 3-5, 18-21, 29, 35; Book III Chapters 5, 6, 8; Book IV CMP-01-03, CMP-17-21",06,Human review with recorded evidence
DOM-06-008,Verify firewall and Treaty enforcement,"Cross-domain assurance MUST test active, expired, suspended, revoked, mismatched, replayed, and out-of-scope Treaty exchanges at the Constitutional Firewall.",external domains,Trust Assessor,gateway conformance suite,Treaty Enforcement Report,Critical,none,"Book I Decisions 1-7, 24-29, 38-43, 47-51, 56, 58; Book II Chapters 3-5, 18-21, 29, 35; Book III Chapters 5, 6, 8; Book IV CMP-01-03, CMP-17-21",06,Automated + human review
CON-07-001,Declare continuous claims,"Every active R2-R4 certificate MUST identify continuously evaluated claims, signals, thresholds, evaluation cadence, and loss-of-signal behavior.",active R2-R4,Continuous Verification Owner,monitor registration,Continuous Verification Plan,Critical,none,"Book I Decisions 40, 43, 47-50, 55-58; Book II Chapters 17, 25, 27, 35; Book III Chapters 4, 6-8; Book IV CMP-15, CMP-18, CMP-24-26, CMP-29",07,Human review with recorded evidence
CON-07-002,Treat missing evidence conservatively,"Missing, delayed, corrupt, unauthenticated, or stale critical evidence MUST reduce assurance and trigger the defined restriction, suspension, or regression response.",critical signals,Target Owner,freshness gate,signal-loss event,Critical,none,"Book I Decisions 40, 43, 47-50, 55-58; Book II Chapters 17, 25, 27, 35; Book III Chapters 4, 6-8; Book IV CMP-15, CMP-18, CMP-24-26, CMP-29",07,Automated + human review
CON-07-003,Detect relevant drift,"Monitoring MUST evaluate code, configuration, policy, model, data, dependency, behavior, environment, threat, and population drift against certified baselines.",active targets,Continuous Verification Owner,baseline comparison,Drift Report,High,Certification Authority,"Book I Decisions 40, 43, 47-50, 55-58; Book II Chapters 17, 25, 27, 35; Book III Chapters 4, 6-8; Book IV CMP-15, CMP-18, CMP-24-26, CMP-29",07,Human review with recorded evidence
CON-07-004,Define recertification triggers,"Material changes, incidents, new failure modes, source changes, expired assumptions, model drift, Treaty changes, and evidence invalidation MUST trigger scoped or full recertification.",active certificates,Certification Authority,trigger engine,Recertification Record,Critical,none,"Book I Decisions 40, 43, 47-50, 55-58; Book II Chapters 17, 25, 27, 35; Book III Chapters 4, 6-8; Book IV CMP-15, CMP-18, CMP-24-26, CMP-29",07,Human review with recorded evidence
CON-07-005,Prevent regression masking,"Aggregate health or success metrics MUST NOT mask constitutional, authority, privacy, safety, trust-boundary, minority-population, or tail-risk regressions.",all monitoring,Continuous Verification Owner,segmented analysis,Regression Dashboard Evidence,Critical,none,"Book I Decisions 40, 43, 47-50, 55-58; Book II Chapters 17, 25, 27, 35; Book III Chapters 4, 6-8; Book IV CMP-15, CMP-18, CMP-24-26, CMP-29",07,Human review with recorded evidence
CON-07-006,Revalidate after incidents,"An incident affecting a certified claim MUST suspend reliance on that claim until containment, root cause, corrective action, and targeted reverification are evidenced.",incidents,Incident Commander,incident linkage gate,Incident Assurance Addendum,Critical,none,"Book I Decisions 40, 43, 47-50, 55-58; Book II Chapters 17, 25, 27, 35; Book III Chapters 4, 6-8; Book IV CMP-15, CMP-18, CMP-24-26, CMP-29",07,Automated + human review
CON-07-007,Calibrate predictions against outcomes,"Expected outcomes and confidence MUST be compared with observed Outcome Objects; systematic error MUST update methods, thresholds, and certificates.",adopted targets,Method Owner,calibration analysis,Calibration Report,High,Certification Authority,"Book I Decisions 40, 43, 47-50, 55-58; Book II Chapters 17, 25, 27, 35; Book III Chapters 4, 6-8; Book IV CMP-15, CMP-18, CMP-24-26, CMP-29",07,Human review with recorded evidence
CON-07-008,Preserve historical decisions,Certificate updates MUST supersede rather than overwrite earlier decisions and MUST preserve the exact evidence and conditions valid at each time.,all certificates,Evidence Custodian,append-only check,certificate history,High,none,"Book I Decisions 40, 43, 47-50, 55-58; Book II Chapters 17, 25, 27, 35; Book III Chapters 4, 6-8; Book IV CMP-15, CMP-18, CMP-24-26, CMP-29",07,Automated + human review
OBJ-08-001,Certify every component obligation,"Component certification MUST cover every Book IV responsibility, non-responsibility, invariant, state transition, logical interface, failure mode, recovery path, and prohibited shortcut.",components,Component Owner,Book IV coverage gate,Component Assurance Case,Critical,none,"Book I Decisions 35, 38-43, 47-51, 56, 58; Book II Chapters 15-17, 29, 35; Book III Chapters 3, 6-9; Book IV all components",08,Automated + human review
OBJ-08-002,Identify exact build and deployment,"A component certificate MUST bind source, build, artifact provenance, configuration, policy, schema, dependency, environment class, and deployment topology.",component releases,Component Owner,manifest equality check,Component Certificate Manifest,Critical,none,"Book I Decisions 35, 38-43, 47-51, 56, 58; Book II Chapters 15-17, 29, 35; Book III Chapters 3, 6-9; Book IV all components",08,Automated + human review
OBJ-08-003,Test integration assumptions,"Component certification MUST verify declared dependencies, degraded behavior, version compatibility, event ordering, idempotency, time assumptions, and authority-context preservation.",components,Architecture Reviewer,integration suite,Dependency Verification Report,High,Certification Authority,"Book I Decisions 35, 38-43, 47-51, 56, 58; Book II Chapters 15-17, 29, 35; Book III Chapters 3, 6-9; Book IV all components",08,Human review with recorded evidence
OBJ-08-004,Separate provider qualification,A qualified provider or adapter MUST NOT be treated as a certified Capability or as Permission to invoke it.,capabilities,Capability Owner,registry invariant test,Provider Qualification Record,Critical,none,"Book I Decisions 35, 38-43, 47-51, 56, 58; Book II Chapters 15-17, 29, 35; Book III Chapters 3, 6-9; Book IV all components",08,Human review with recorded evidence
OBJ-08-005,Certify capability semantics,"Capability certification MUST prove contract semantics, provider equivalence bounds, authority requirements, input/output constraints, resource limits, failure behavior, evidence, and rollback.",capabilities,Capability Owner,capability conformance suite,Capability Assurance Case,Critical,none,"Book I Decisions 35, 38-43, 47-51, 56, 58; Book II Chapters 15-17, 29, 35; Book III Chapters 3, 6-9; Book IV all components",08,Human review with recorded evidence
OBJ-08-006,Require Owner approval for new classes,Certification MUST NOT activate a new capability class without the Owner approval required by the canon; certification evidence supports but does not replace approval.,new capability classes,Certification Authority,approval gate,Owner approval reference,Critical,Owner,"Book I Decisions 35, 38-43, 47-51, 56, 58; Book II Chapters 15-17, 29, 35; Book III Chapters 3, 6-9; Book IV all components",08,Automated + human review
OBJ-08-007,Limit certificate inheritance,"A dependent target MUST reuse current evidence only when provenance, scope, environment, version, assumptions, and independence are demonstrably applicable; otherwise it MUST produce new evidence.",composed targets,Certification Authority,evidence applicability review,Evidence Reuse Record,High,Certification Authority,"Book I Decisions 35, 38-43, 47-51, 56, 58; Book II Chapters 15-17, 29, 35; Book III Chapters 3, 6-9; Book IV all components",08,Human review with recorded evidence
OBJ-08-008,Propagate invalidation,"Suspension or revocation of a component, provider, adapter, or dependency certificate MUST evaluate and propagate impact to every relying capability and release.",dependency changes,Certification Authority,dependency graph traversal,Impact and Propagation Record,Critical,none,"Book I Decisions 35, 38-43, 47-51, 56, 58; Book II Chapters 15-17, 29, 35; Book III Chapters 3, 6-9; Book IV all components",08,Human review with recorded evidence
RLS-09-001,Certify immutable artifacts,"Release certification MUST bind reproducible build evidence, SBOM, signatures, provenance, vulnerability disposition, configuration, migrations, and artifact digests.",releases,Build Custodian,supply-chain gate,Release Evidence Manifest,Critical,none,"Book I Decisions 35, 38-43, 47-51, 56, 58; Book II Chapters 27, 32-35; Book III Chapters 7-9; Book IV CMP-15, CMP-18, CMP-23-26",09,Automated + human review
RLS-09-002,Map change risk and claims,"Every release MUST map changes to affected source requirements, components, interfaces, controls, claims, failure modes, and recertification scope.",releases,Release Owner,impact-analysis gate,Change Impact Record,High,Release Authority,"Book I Decisions 35, 38-43, 47-51, 56, 58; Book II Chapters 27, 32-35; Book III Chapters 7-9; Book IV CMP-15, CMP-18, CMP-23-26",09,Automated + human review
RLS-09-003,Prove migration safety,"State or schema migrations MUST demonstrate compatibility, checkpoints, partial-failure handling, rollback or forward recovery, reconciliation, and evidence preservation.",migrations,Deployment Owner,migration rehearsal,Migration Verification Report,Critical,none,"Book I Decisions 35, 38-43, 47-51, 56, 58; Book II Chapters 27, 32-35; Book III Chapters 7-9; Book IV CMP-15, CMP-18, CMP-23-26",09,Human review with recorded evidence
RLS-09-004,Require rollback credibility,Rollback or forward recovery MUST be executed in a representative environment and must restore invariants rather than merely restore process availability.,R2-R4 releases,Deployment Owner,recovery rehearsal,Rollback Verification Record,Critical,none,"Book I Decisions 35, 38-43, 47-51, 56, 58; Book II Chapters 27, 32-35; Book III Chapters 7-9; Book IV CMP-15, CMP-18, CMP-23-26",09,Human review with recorded evidence
RLS-09-005,Bind certification to environment,"A release approved for one environment, topology, data class, authority envelope, or Treaty context MUST NOT be presumed certified elsewhere.",deployments,Certification Authority,environment admission gate,Deployment Certificate,Critical,none,"Book I Decisions 35, 38-43, 47-51, 56, 58; Book II Chapters 27, 32-35; Book III Chapters 7-9; Book IV CMP-15, CMP-18, CMP-23-26",09,Automated + human review
RLS-09-006,Gate emergency changes,"Emergency releases MUST preserve constitutional, authority, evidence, and recovery controls; omitted ordinary evidence MUST be time-bounded and completed before continued operation.",emergency changes,Release Authority,emergency workflow,Emergency Certification Record,Critical,Assurance Governor,"Book I Decisions 35, 38-43, 47-51, 56, 58; Book II Chapters 27, 32-35; Book III Chapters 7-9; Book IV CMP-15, CMP-18, CMP-23-26",09,Human review with recorded evidence
