"Control ID","Title","Normative requirement","Applicability","Responsible role","Enforcement method","Required evidence","Severity","Exception authority","Book I source","Book II source","Book III chapter","Automation status"
"SRC-006","Repository, Source, and Configuration Management","Repositories MUST separate source, generated artifacts, configuration schemas, interfaces, tests, evidence, and deployment manifests. Secrets MUST NOT enter source control, logs, fixtures, images, or build outputs. Each dependency MUST have an owner, version constraint, provenance record, and vulnerability disposition.","All consequential changes within chapter scope","Engineering owner","Automated and human review","PR, SBOM, dependency attestation, generated-artifact provenance, configuration validation result.","High","Per Chapter 9 exception model","Book I Decisions 37, 39, 40, 43","Book II 03, 25, 26, 29","Chapter 2","Partial automation"
"DES-001","Software Design and Contract Engineering","Each durable state domain MUST have one mutation owner. Commands MUST request authoritative state change, queries MUST NOT mutate, and events MUST represent completed facts. Public contracts MUST declare versioning, Authority scope, Permission-decision context, idempotency, ordering scope, time semantics, error model, and compatibility policy.","All consequential changes within chapter scope","Engineering owner","Automated and human review","Contract definitions, state-transition diagrams, ADR, compatibility report, test evidence, recovery plan.","High","Per Chapter 9 exception model","Book I Decisions 2-5, 15-16, 20, 23-24, 35, 44, 50","Book II 01, 02, 15, 16, 22, 23, 24","Chapter 3","Partial automation"
"DES-002","Software Design and Contract Engineering","Each durable state domain MUST have one mutation owner. Commands MUST request authoritative state change, queries MUST NOT mutate, and events MUST represent completed facts. Public contracts MUST declare versioning, Authority scope, Permission-decision context, idempotency, ordering scope, time semantics, error model, and compatibility policy.","All consequential changes within chapter scope","Engineering owner","Automated and human review","Contract definitions, state-transition diagrams, ADR, compatibility report, test evidence, recovery plan.","High","Per Chapter 9 exception model","Book I Decisions 2-5, 15-16, 20, 23-24, 35, 44, 50","Book II 01, 02, 15, 16, 22, 23, 24","Chapter 3","Partial automation"
"DES-003","Software Design and Contract Engineering","Each durable state domain MUST have one mutation owner. Commands MUST request authoritative state change, queries MUST NOT mutate, and events MUST represent completed facts. Public contracts MUST declare versioning, Authority scope, Permission-decision context, idempotency, ordering scope, time semantics, error model, and compatibility policy.","All consequential changes within chapter scope","Engineering owner","Automated and human review","Contract definitions, state-transition diagrams, ADR, compatibility report, test evidence, recovery plan.","High","Per Chapter 9 exception model","Book I Decisions 2-5, 15-16, 20, 23-24, 35, 44, 50","Book II 01, 02, 15, 16, 22, 23, 24","Chapter 3","Partial automation"
"DES-004","Software Design and Contract Engineering","Each durable state domain MUST have one mutation owner. Commands MUST request authoritative state change, queries MUST NOT mutate, and events MUST represent completed facts. Public contracts MUST declare versioning, Authority scope, Permission-decision context, idempotency, ordering scope, time semantics, error model, and compatibility policy.","All consequential changes within chapter scope","Engineering owner","Automated and human review","Contract definitions, state-transition diagrams, ADR, compatibility report, test evidence, recovery plan.","High","Per Chapter 9 exception model","Book I Decisions 2-5, 15-16, 20, 23-24, 35, 44, 50","Book II 01, 02, 15, 16, 22, 23, 24","Chapter 3","Partial automation"
"DES-005","Software Design and Contract Engineering","Each durable state domain MUST have one mutation owner. Commands MUST request authoritative state change, queries MUST NOT mutate, and events MUST represent completed facts. Public contracts MUST declare versioning, Authority scope, Permission-decision context, idempotency, ordering scope, time semantics, error model, and compatibility policy.","All consequential changes within chapter scope","Engineering owner","Automated and human review","Contract definitions, state-transition diagrams, ADR, compatibility report, test evidence, recovery plan.","High","Per Chapter 9 exception model","Book I Decisions 2-5, 15-16, 20, 23-24, 35, 44, 50","Book II 01, 02, 15, 16, 22, 23, 24","Chapter 3","Partial automation"
"DES-006","Software Design and Contract Engineering","Each durable state domain MUST have one mutation owner. Commands MUST request authoritative state change, queries MUST NOT mutate, and events MUST represent completed facts. Public contracts MUST declare versioning, Authority scope, Permission-decision context, idempotency, ordering scope, time semantics, error model, and compatibility policy.","All consequential changes within chapter scope","Engineering owner","Automated and human review","Contract definitions, state-transition diagrams, ADR, compatibility report, test evidence, recovery plan.","High","Per Chapter 9 exception model","Book I Decisions 2-5, 15-16, 20, 23-24, 35, 44, 50","Book II 01, 02, 15, 16, 22, 23, 24","Chapter 3","Partial automation"
"OBS-001","Implementation Quality and Observability","Implementation MUST validate untrusted input at the boundary, preserve typed error categories, emit structured correlation-aware evidence, and keep security, privacy, and authority context separate. Performance work MUST state workload, budget, measurement method, and regression threshold.","All consequential changes within chapter scope","Engineering owner","Automated and human review","Lint/type results, log schema, trace sample, benchmark, accessibility report, deprecation notice.","High","Per Chapter 9 exception model","Book I Articles II, VI, VII, XI, XII; Decisions 40, 43","Book II 25, 31, 32","Chapter 4","Partial automation"
"OBS-002","Implementation Quality and Observability","Implementation MUST validate untrusted input at the boundary, preserve typed error categories, emit structured correlation-aware evidence, and keep security, privacy, and authority context separate. Performance work MUST state workload, budget, measurement method, and regression threshold.","All consequential changes within chapter scope","Engineering owner","Automated and human review","Lint/type results, log schema, trace sample, benchmark, accessibility report, deprecation notice.","High","Per Chapter 9 exception model","Book I Articles II, VI, VII, XI, XII; Decisions 40, 43","Book II 25, 31, 32","Chapter 4","Partial automation"
"OBS-003","Implementation Quality and Observability","Implementation MUST validate untrusted input at the boundary, preserve typed error categories, emit structured correlation-aware evidence, and keep security, privacy, and authority context separate. Performance work MUST state workload, budget, measurement method, and regression threshold.","All consequential changes within chapter scope","Engineering owner","Automated and human review","Lint/type results, log schema, trace sample, benchmark, accessibility report, deprecation notice.","High","Per Chapter 9 exception model","Book I Articles II, VI, VII, XI, XII; Decisions 40, 43","Book II 25, 31, 32","Chapter 4","Partial automation"
"OBS-004","Implementation Quality and Observability","Implementation MUST validate untrusted input at the boundary, preserve typed error categories, emit structured correlation-aware evidence, and keep security, privacy, and authority context separate. Performance work MUST state workload, budget, measurement method, and regression threshold.","All consequential changes within chapter scope","Engineering owner","Automated and human review","Lint/type results, log schema, trace sample, benchmark, accessibility report, deprecation notice.","High","Per Chapter 9 exception model","Book I Articles II, VI, VII, XI, XII; Decisions 40, 43","Book II 25, 31, 32","Chapter 4","Partial automation"
"DOC-001","Implementation Quality and Observability","Implementation MUST validate untrusted input at the boundary, preserve typed error categories, emit structured correlation-aware evidence, and keep security, privacy, and authority context separate. Performance work MUST state workload, budget, measurement method, and regression threshold.","All consequential changes within chapter scope","Engineering owner","Automated and human review","Lint/type results, log schema, trace sample, benchmark, accessibility report, deprecation notice.","High","Per Chapter 9 exception model","Book I Articles II, VI, VII, XI, XII; Decisions 40, 43","Book II 25, 31, 32","Chapter 4","Partial automation"
"SEC-001","Security, Privacy, and Trust-Boundary Engineering","Every request crossing a trust boundary MUST carry authenticated identity, bounded Authority, purpose, provenance, and correlation context. Permission MUST be evaluated by the authoritative policy path within current Authority, not inferred from network, role label, secret possession, or provider usefulness. Data collection and disclosure MUST follow a classification, purpose, minimization, retention, and deletion/archival rule.","All consequential changes within chapter scope","Engineering owner","Automated and human review","Threat model, data inventory, access decision log, Treaty record, key-management record, SBOM, vulnerability disposition.","High","Per Chapter 9 exception model","Book I Articles I, II, V, VI, VIII, XI, XII; Decisions 26-27, 32, 36-37, 39, 48-49","Book II 04, 05, 18, 19, 20, 21, 26","Chapter 5","Partial automation"
"SEC-002","Security, Privacy, and Trust-Boundary Engineering","Every request crossing a trust boundary MUST carry authenticated identity, bounded Authority, purpose, provenance, and correlation context. Permission MUST be evaluated by the authoritative policy path within current Authority, not inferred from network, role label, secret possession, or provider usefulness. Data collection and disclosure MUST follow a classification, purpose, minimization, retention, and deletion/archival rule.","All consequential changes within chapter scope","Engineering owner","Automated and human review","Threat model, data inventory, access decision log, Treaty record, key-management record, SBOM, vulnerability disposition.","High","Per Chapter 9 exception model","Book I Articles I, II, V, VI, VIII, XI, XII; Decisions 26-27, 32, 36-37, 39, 48-49","Book II 04, 05, 18, 19, 20, 21, 26","Chapter 5","Partial automation"
"SEC-003","Security, Privacy, and Trust-Boundary Engineering","Every request crossing a trust boundary MUST carry authenticated identity, bounded Authority, purpose, provenance, and correlation context. Permission MUST be evaluated by the authoritative policy path within current Authority, not inferred from network, role label, secret possession, or provider usefulness. Data collection and disclosure MUST follow a classification, purpose, minimization, retention, and deletion/archival rule.","All consequential changes within chapter scope","Engineering owner","Automated and human review","Threat model, data inventory, access decision log, Treaty record, key-management record, SBOM, vulnerability disposition.","High","Per Chapter 9 exception model","Book I Articles I, II, V, VI, VIII, XI, XII; Decisions 26-27, 32, 36-37, 39, 48-49","Book II 04, 05, 18, 19, 20, 21, 26","Chapter 5","Partial automation"
"SEC-004","Security, Privacy, and Trust-Boundary Engineering","Every request crossing a trust boundary MUST carry authenticated identity, bounded Authority, purpose, provenance, and correlation context. Permission MUST be evaluated by the authoritative policy path within current Authority, not inferred from network, role label, secret possession, or provider usefulness. Data collection and disclosure MUST follow a classification, purpose, minimization, retention, and deletion/archival rule.","All consequential changes within chapter scope","Engineering owner","Automated and human review","Threat model, data inventory, access decision log, Treaty record, key-management record, SBOM, vulnerability disposition.","High","Per Chapter 9 exception model","Book I Articles I, II, V, VI, VIII, XI, XII; Decisions 26-27, 32, 36-37, 39, 48-49","Book II 04, 05, 18, 19, 20, 21, 26","Chapter 5","Partial automation"
"SEC-005","Security, Privacy, and Trust-Boundary Engineering","Every request crossing a trust boundary MUST carry authenticated identity, bounded Authority, purpose, provenance, and correlation context. Permission MUST be evaluated by the authoritative policy path within current Authority, not inferred from network, role label, secret possession, or provider usefulness. Data collection and disclosure MUST follow a classification, purpose, minimization, retention, and deletion/archival rule.","All consequential changes within chapter scope","Engineering owner","Automated and human review","Threat model, data inventory, access decision log, Treaty record, key-management record, SBOM, vulnerability disposition.","High","Per Chapter 9 exception model","Book I Articles I, II, V, VI, VIII, XI, XII; Decisions 26-27, 32, 36-37, 39, 48-49","Book II 04, 05, 18, 19, 20, 21, 26","Chapter 5","Partial automation"
"SEC-006","Security, Privacy, and Trust-Boundary Engineering","Every request crossing a trust boundary MUST carry authenticated identity, bounded Authority, purpose, provenance, and correlation context. Permission MUST be evaluated by the authoritative policy path within current Authority, not inferred from network, role label, secret possession, or provider usefulness. Data collection and disclosure MUST follow a classification, purpose, minimization, retention, and deletion/archival rule.","All consequential changes within chapter scope","Engineering owner","Automated and human review","Threat model, data inventory, access decision log, Treaty record, key-management record, SBOM, vulnerability disposition.","High","Per Chapter 9 exception model","Book I Articles I, II, V, VI, VIII, XI, XII; Decisions 26-27, 32, 36-37, 39, 48-49","Book II 04, 05, 18, 19, 20, 21, 26","Chapter 5","Partial automation"
"PRV-001","Security, Privacy, and Trust-Boundary Engineering","Every request crossing a trust boundary MUST carry authenticated identity, bounded Authority, purpose, provenance, and correlation context. Permission MUST be evaluated by the authoritative policy path within current Authority, not inferred from network, role label, secret possession, or provider usefulness. Data collection and disclosure MUST follow a classification, purpose, minimization, retention, and deletion/archival rule.","All consequential changes within chapter scope","Engineering owner","Automated and human review","Threat model, data inventory, access decision log, Treaty record, key-management record, SBOM, vulnerability disposition.","High","Per Chapter 9 exception model","Book I Articles I, II, V, VI, VIII, XI, XII; Decisions 26-27, 32, 36-37, 39, 48-49","Book II 04, 05, 18, 19, 20, 21, 26","Chapter 5","Partial automation"
"PRV-002","Security, Privacy, and Trust-Boundary Engineering","Every request crossing a trust boundary MUST carry authenticated identity, bounded Authority, purpose, provenance, and correlation context. Permission MUST be evaluated by the authoritative policy path within current Authority, not inferred from network, role label, secret possession, or provider usefulness. Data collection and disclosure MUST follow a classification, purpose, minimization, retention, and deletion/archival rule.","All consequential changes within chapter scope","Engineering owner","Automated and human review","Threat model, data inventory, access decision log, Treaty record, key-management record, SBOM, vulnerability disposition.","High","Per Chapter 9 exception model","Book I Articles I, II, V, VI, VIII, XI, XII; Decisions 26-27, 32, 36-37, 39, 48-49","Book II 04, 05, 18, 19, 20, 21, 26","Chapter 5","Partial automation"
"TST-001","Testing, Verification, and Simulation","Verification MUST be risk-based and MUST cover requirements, authority paths, trust boundaries, state transitions, failure and recovery paths, privacy obligations, constitutional invariants, and Reality Boundary actions. Code coverage alone MUST NOT be used as a release decision.","All consequential changes within chapter scope","Engineering owner","Automated and human review","Verification plan, risk matrix, test results, simulation/shadow report, recovery drill record, release decision.","High","Per Chapter 9 exception model","Book I Decisions 22, 34-35, 42-43, 50, 56","Book II 16, 17, 27, 28, 35","Chapter 6","Partial automation"
"TST-002","Testing, Verification, and Simulation","Verification MUST be risk-based and MUST cover requirements, authority paths, trust boundaries, state transitions, failure and recovery paths, privacy obligations, constitutional invariants, and Reality Boundary actions. Code coverage alone MUST NOT be used as a release decision.","All consequential changes within chapter scope","Engineering owner","Automated and human review","Verification plan, risk matrix, test results, simulation/shadow report, recovery drill record, release decision.","High","Per Chapter 9 exception model","Book I Decisions 22, 34-35, 42-43, 50, 56","Book II 16, 17, 27, 28, 35","Chapter 6","Partial automation"
"TST-003","Testing, Verification, and Simulation","Verification MUST be risk-based and MUST cover requirements, authority paths, trust boundaries, state transitions, failure and recovery paths, privacy obligations, constitutional invariants, and Reality Boundary actions. Code coverage alone MUST NOT be used as a release decision.","All consequential changes within chapter scope","Engineering owner","Automated and human review","Verification plan, risk matrix, test results, simulation/shadow report, recovery drill record, release decision.","High","Per Chapter 9 exception model","Book I Decisions 22, 34-35, 42-43, 50, 56","Book II 16, 17, 27, 28, 35","Chapter 6","Partial automation"
"TST-004","Testing, Verification, and Simulation","Verification MUST be risk-based and MUST cover requirements, authority paths, trust boundaries, state transitions, failure and recovery paths, privacy obligations, constitutional invariants, and Reality Boundary actions. Code coverage alone MUST NOT be used as a release decision.","All consequential changes within chapter scope","Engineering owner","Automated and human review","Verification plan, risk matrix, test results, simulation/shadow report, recovery drill record, release decision.","High","Per Chapter 9 exception model","Book I Decisions 22, 34-35, 42-43, 50, 56","Book II 16, 17, 27, 28, 35","Chapter 6","Partial automation"
"VER-001","Testing, Verification, and Simulation","Verification MUST be risk-based and MUST cover requirements, authority paths, trust boundaries, state transitions, failure and recovery paths, privacy obligations, constitutional invariants, and Reality Boundary actions. Code coverage alone MUST NOT be used as a release decision.","All consequential changes within chapter scope","Engineering owner","Automated and human review","Verification plan, risk matrix, test results, simulation/shadow report, recovery drill record, release decision.","High","Per Chapter 9 exception model","Book I Decisions 22, 34-35, 42-43, 50, 56","Book II 16, 17, 27, 28, 35","Chapter 6","Partial automation"
"VER-002","Testing, Verification, and Simulation","Verification MUST be risk-based and MUST cover requirements, authority paths, trust boundaries, state transitions, failure and recovery paths, privacy obligations, constitutional invariants, and Reality Boundary actions. Code coverage alone MUST NOT be used as a release decision.","All consequential changes within chapter scope","Engineering owner","Automated and human review","Verification plan, risk matrix, test results, simulation/shadow report, recovery drill record, release decision.","High","Per Chapter 9 exception model","Book I Decisions 22, 34-35, 42-43, 50, 56","Book II 16, 17, 27, 28, 35","Chapter 6","Partial automation"
"VER-003","Testing, Verification, and Simulation","Verification MUST be risk-based and MUST cover requirements, authority paths, trust boundaries, state transitions, failure and recovery paths, privacy obligations, constitutional invariants, and Reality Boundary actions. Code coverage alone MUST NOT be used as a release decision.","All consequential changes within chapter scope","Engineering owner","Automated and human review","Verification plan, risk matrix, test results, simulation/shadow report, recovery drill record, release decision.","High","Per Chapter 9 exception model","Book I Decisions 22, 34-35, 42-43, 50, 56","Book II 16, 17, 27, 28, 35","Chapter 6","Partial automation"
"BLD-001","Delivery, Change, and Release Governance","Every release MUST be reproducibly built from an identified source revision, signed or attested, risk-classified, and qualified with evidence appropriate to its affected authority, trust, state, and Reality Boundary. Migrations MUST have forward, rollback, or compensation behavior documented before execution.","All consequential changes within chapter scope","Engineering owner","Automated and human review","Build record, SBOM, signature, release checklist, canary metrics, rollback/forward-recovery evidence.","High","Per Chapter 9 exception model","Book I Decisions 35, 39, 43, 50, 58","Book II 17, 21, 29, 34, 35","Chapter 7","Partial automation"
"BLD-002","Delivery, Change, and Release Governance","Every release MUST be reproducibly built from an identified source revision, signed or attested, risk-classified, and qualified with evidence appropriate to its affected authority, trust, state, and Reality Boundary. Migrations MUST have forward, rollback, or compensation behavior documented before execution.","All consequential changes within chapter scope","Engineering owner","Automated and human review","Build record, SBOM, signature, release checklist, canary metrics, rollback/forward-recovery evidence.","High","Per Chapter 9 exception model","Book I Decisions 35, 39, 43, 50, 58","Book II 17, 21, 29, 34, 35","Chapter 7","Partial automation"
"BLD-003","Delivery, Change, and Release Governance","Every release MUST be reproducibly built from an identified source revision, signed or attested, risk-classified, and qualified with evidence appropriate to its affected authority, trust, state, and Reality Boundary. Migrations MUST have forward, rollback, or compensation behavior documented before execution.","All consequential changes within chapter scope","Engineering owner","Automated and human review","Build record, SBOM, signature, release checklist, canary metrics, rollback/forward-recovery evidence.","High","Per Chapter 9 exception model","Book I Decisions 35, 39, 43, 50, 58","Book II 17, 21, 29, 34, 35","Chapter 7","Partial automation"
"RELSE-001","Delivery, Change, and Release Governance","Every release MUST be reproducibly built from an identified source revision, signed or attested, risk-classified, and qualified with evidence appropriate to its affected authority, trust, state, and Reality Boundary. Migrations MUST have forward, rollback, or compensation behavior documented before execution.","All consequential changes within chapter scope","Engineering owner","Automated and human review","Build record, SBOM, signature, release checklist, canary metrics, rollback/forward-recovery evidence.","High","Per Chapter 9 exception model","Book I Decisions 35, 39, 43, 50, 58","Book II 17, 21, 29, 34, 35","Chapter 7","Partial automation"
"RELSE-002","Delivery, Change, and Release Governance","Every release MUST be reproducibly built from an identified source revision, signed or attested, risk-classified, and qualified with evidence appropriate to its affected authority, trust, state, and Reality Boundary. Migrations MUST have forward, rollback, or compensation behavior documented before execution.","All consequential changes within chapter scope","Engineering owner","Automated and human review","Build record, SBOM, signature, release checklist, canary metrics, rollback/forward-recovery evidence.","High","Per Chapter 9 exception model","Book I Decisions 35, 39, 43, 50, 58","Book II 17, 21, 29, 34, 35","Chapter 7","Partial automation"
"RELSE-003","Delivery, Change, and Release Governance","Every release MUST be reproducibly built from an identified source revision, signed or attested, risk-classified, and qualified with evidence appropriate to its affected authority, trust, state, and Reality Boundary. Migrations MUST have forward, rollback, or compensation behavior documented before execution.","All consequential changes within chapter scope","Engineering owner","Automated and human review","Build record, SBOM, signature, release checklist, canary metrics, rollback/forward-recovery evidence.","High","Per Chapter 9 exception model","Book I Decisions 35, 39, 43, 50, 58","Book II 17, 21, 29, 34, 35","Chapter 7","Partial automation"
"VER-004","Review, Assurance, and Technical Debt","A review MUST test the change against claimed requirements and evidence, not merely style. Definition of Ready MUST establish authority, risk, interfaces, verification, and rollback assumptions. Definition of Done MUST include completed evidence, resolved findings, and release/post-release obligations.","All consequential changes within chapter scope","Engineering owner","Automated and human review","PR review, review checklist, finding disposition, certification report, retrospective, debt register.","High","Per Chapter 9 exception model","Book I Articles VI, VII, X, XI; Decisions 28, 40, 50, 57","Book II 25, 29, 35","Chapter 8","Partial automation"
"VER-005","Review, Assurance, and Technical Debt","A review MUST test the change against claimed requirements and evidence, not merely style. Definition of Ready MUST establish authority, risk, interfaces, verification, and rollback assumptions. Definition of Done MUST include completed evidence, resolved findings, and release/post-release obligations.","All consequential changes within chapter scope","Engineering owner","Automated and human review","PR review, review checklist, finding disposition, certification report, retrospective, debt register.","High","Per Chapter 9 exception model","Book I Articles VI, VII, X, XI; Decisions 28, 40, 50, 57","Book II 25, 29, 35","Chapter 8","Partial automation"
"VER-006","Review, Assurance, and Technical Debt","A review MUST test the change against claimed requirements and evidence, not merely style. Definition of Ready MUST establish authority, risk, interfaces, verification, and rollback assumptions. Definition of Done MUST include completed evidence, resolved findings, and release/post-release obligations.","All consequential changes within chapter scope","Engineering owner","Automated and human review","PR review, review checklist, finding disposition, certification report, retrospective, debt register.","High","Per Chapter 9 exception model","Book I Articles VI, VII, X, XI; Decisions 28, 40, 50, 57","Book II 25, 29, 35","Chapter 8","Partial automation"
"GOV-006","Review, Assurance, and Technical Debt","A review MUST test the change against claimed requirements and evidence, not merely style. Definition of Ready MUST establish authority, risk, interfaces, verification, and rollback assumptions. Definition of Done MUST include completed evidence, resolved findings, and release/post-release obligations.","All consequential changes within chapter scope","Engineering owner","Automated and human review","PR review, review checklist, finding disposition, certification report, retrospective, debt register.","High","Per Chapter 9 exception model","Book I Articles VI, VII, X, XI; Decisions 28, 40, 50, 57","Book II 25, 29, 35","Chapter 8","Partial automation"
"GOV-007","Control Operations, Exceptions, and Certification","Each consequential control MUST have a stable ID, owner, applicability, enforcement, evidence, severity, source mapping, and automation status. Exceptions MUST be time-bounded and include justification, scope, risk, compensating controls, approver, effective/expiry/review dates, evidence, and revocation conditions.","All consequential changes within chapter scope","Engineering owner","Automated and human review","Catalog record, exception record, control report, certification report, retention index.","High","Per Chapter 9 exception model","Book I Decisions 25, 40, 50, 58","Book II 25, 29, 30, 35","Chapter 9","Partial automation"
"GOV-008","Control Operations, Exceptions, and Certification","Each consequential control MUST have a stable ID, owner, applicability, enforcement, evidence, severity, source mapping, and automation status. Exceptions MUST be time-bounded and include justification, scope, risk, compensating controls, approver, effective/expiry/review dates, evidence, and revocation conditions.","All consequential changes within chapter scope","Engineering owner","Automated and human review","Catalog record, exception record, control report, certification report, retention index.","High","Per Chapter 9 exception model","Book I Decisions 25, 40, 50, 58","Book II 25, 29, 30, 35","Chapter 9","Partial automation"
"DOC-002","Control Operations, Exceptions, and Certification","Each consequential control MUST have a stable ID, owner, applicability, enforcement, evidence, severity, source mapping, and automation status. Exceptions MUST be time-bounded and include justification, scope, risk, compensating controls, approver, effective/expiry/review dates, evidence, and revocation conditions.","All consequential changes within chapter scope","Engineering owner","Automated and human review","Catalog record, exception record, control report, certification report, retention index.","High","Per Chapter 9 exception model","Book I Decisions 25, 40, 50, 58","Book II 25, 29, 30, 35","Chapter 9","Partial automation"
"OPS-001","Control Operations, Exceptions, and Certification","Each consequential control MUST have a stable ID, owner, applicability, enforcement, evidence, severity, source mapping, and automation status. Exceptions MUST be time-bounded and include justification, scope, risk, compensating controls, approver, effective/expiry/review dates, evidence, and revocation conditions.","All consequential changes within chapter scope","Engineering owner","Automated and human review","Catalog record, exception record, control report, certification report, retention index.","High","Per Chapter 9 exception model","Book I Decisions 25, 40, 50, 58","Book II 25, 29, 30, 35","Chapter 9","Partial automation"
